Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
OIB,Hawaii,Rhodes_1996,samp.R159-4.10,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.2796,3.65259,13.3557,13.0462,11.4839,8.72169,0.202359,0.333893,2.55985,0.364247,0,,,,,327,611,,177,,131,23,1.3,448,30.3,227,24.5,,,190,15,49,,,,,,,,,,,,,,,,3,,,,,,,
OIB,Hawaii,Rhodes_1996,samp.R160-5.75,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.5264,3.26039,12.0391,12.901,10.5811,11.3405,0.192383,0.425268,2.40985,0.324014,0,,,,,300,881,,324,,125,21,3.1,427,28,204,21.3,,,203,17,43,,,,,,,,,,,,,,,,3,,,,,,,
OIB,Hawaii,Rhodes_1996,samp.R168-7.75,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.5202,3.03256,13.9599,12.1063,12.1404,8.24856,0.192062,0.161737,2.31485,0.323473,0,,,,,282,391,,154,,118,21,1.3,427,29.8,205,18.9,,,131,16,42,,,,,,,,,,,,,,,,3,,,,,,,
OIB,Hawaii,Rhodes_1996,samp.R169-3.55,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.9492,3.10265,14.3168,12.1524,11.7718,7.42203,0.192648,0.243345,2.51457,0.3346,0,,,,,269,169,,115,,112,23,3,450,30.5,214,19.2,,,161,13,45,,,,,,,,,,,,,,,,2,,,,,,,
OIB,Hawaii,Rhodes_1996,samp.R171-4.55,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.1636,2.26037,11.2613,11.5922,10.8761,14.363,0.182451,0.162179,1.9056,0.233132,0,,,,,231,879,,456,,105,18,1.1,325,23.1,148,12.8,,,143,12,30,,,,,,,,,,,,,,,,1,,,,,,,
OIB,Hawaii,Rhodes_1996,samp.R177-2.60,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,44.3254,4.01851,14.6026,13.9977,9.91436,8.33131,0.192807,0.852412,3.28787,0.476945,0,,,,,267,116,,151,,129,26,15,628,34.8,287,28,,,253,20,58,,,,,,,,,,,,,,,,3,,,,,,,
OIB,Hawaii,Rhodes_1996,samp.R180-5.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.7142,2.88624,12.8513,11.4179,10.6234,8.94227,0.172161,0.587374,2.49128,0.313942,0,,,,,238,413,,207,,110,20,10.1,387,29,199,17,,,157,13,37,,,,,,,,,,,,,,,,4,,,,,,,
OIB,Hawaii,Rhodes_1996,samp.R185-3.95,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.8182,2.92334,13.3725,11.7231,11.046,7.51572,0.182077,0.566461,2.53896,0.313577,0,,,,,277,295,,134,,110,21,9.6,388,28.8,197,17.9,,,172,16,35,,,,,,,,,,,,,,,,2,,,,,,,
OIB,Hawaii,Rhodes_1996,samp.R189-8.50,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,44.5491,1.17742,6.07996,12.0284,5.94801,28.6743,0.172553,0.0812015,1.16727,0.121802,0,,,,,143,1730,,1321,,103,9,0.2,172,13.2,78,6.9,,,66,3,18,,,,,,,,,,,,,,,,4,,,,,,,
