Author,Island,Volcano,Phase,SAMP_NO,Sample_Type,Latitude,Longitude,H2O wt%,Ce,FO_Host,Mg#_Rock,
Sides_2014,Hawaii,Kilauea,Shield,1400-02m1,Melt_Inclusion,,,0.464,29.74,82.7,53.29,
Sides_2014,Hawaii,Kilauea,Shield,1400-04m1,Melt_Inclusion,,,0.431,27.41,83.21,53.29,
Sides_2014,Hawaii,Kilauea,Shield,1400-32m1,Melt_Inclusion,,,0.371,26.57,82.73,53.29,
Sides_2014,Hawaii,Kilauea,Shield,1400-36m1,Melt_Inclusion,,,0.367,25.84,83.83,53.29,
Sides_2014,Hawaii,Kilauea,Shield,1400-51m1,Melt_Inclusion,,,0.356,26.45,82.86,53.29,
Sides_2014,Hawaii,Kilauea,Shield,1445-A17m1,Melt_Inclusion,,,0.094,23.31,80.48,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A17m2,Melt_Inclusion,,,0.093,24.31,80.61,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A19m1,Melt_Inclusion,,,0.095,23.28,80.37,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A26m1,Melt_Inclusion,,,0.104,23.52,80.45,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A26m2,Melt_Inclusion,,,0.114,24.2,80.59,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A29m1,Melt_Inclusion,,,0.103,24.63,80.49,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A29m2,Melt_Inclusion,,,0.105,26.96,80.54,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A32m1,Melt_Inclusion,,,0.104,27.93,80.81,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A34m1,Melt_Inclusion,,,0.084,22.23,80.74,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A41m1,Melt_Inclusion,,,0.086,24.79,81.59,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A44m1,Melt_Inclusion,,,0.094,27.63,80.24,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1445-A45m1,Melt_Inclusion,,,0.079,26.63,80.6,54.68,
Sides_2014,Hawaii,Kilauea,Shield,1500-101m1,Melt_Inclusion,,,0.408,26.39,82.39,57.31,
Sides_2014,Hawaii,Kilauea,Shield,1500-104m1,Melt_Inclusion,,,0.422,36.96,82.2,57.31,
Sides_2014,Hawaii,Kilauea,Shield,1500-105m1,Melt_Inclusion,,,0.417,27.36,82.7,57.31,
Sides_2014,Hawaii,Kilauea,Shield,1500-108m1,Melt_Inclusion,,,0.41,27.5,83.25,57.31,
Sides_2014,Hawaii,Kilauea,Shield,1500-117m1,Melt_Inclusion,,,0.391,25.63,83.07,57.31,
Sides_2014,Hawaii,Kilauea,Shield,1500-122m1,Melt_Inclusion,,,0.416,32.09,82.37,57.31,
Sides_2014,Hawaii,Kilauea,Shield,1500-122m2,Melt_Inclusion,,,0.405,33.83,82.26,57.31,
Sides_2014,Hawaii,Kilauea,Shield,1500-124m1,Melt_Inclusion,,,0.375,22.52,82.57,57.31,
Sides_2014,Hawaii,Kilauea,Shield,1500-BR02m1,Melt_Inclusion,,,0.311,23.33,89.23,57.4,
Sides_2014,Hawaii,Kilauea,Shield,1500-BR21m1,Melt_Inclusion,,,0.439,24.19,81.79,57.4,
Sides_2014,Hawaii,Kilauea,Shield,1500-BR22m2,Melt_Inclusion,,,0.335,24.45,89.03,57.4,
Sides_2014,Hawaii,Kilauea,Shield,1500-BR22m1,Melt_Inclusion,,,0.319,28.48,88.43,57.4,
Sides_2014,Hawaii,Kilauea,Shield,1550-06m1,Melt_Inclusion,,,0.542,21.73,86.69,58.27,
