Author,Sample,Island,Volcano,Stage,Phase,High_S,Ferric/Fe_Total,H2O(WT%),SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),S(WT%),Mg#,Fo
Moussallam_2016,1885A-15m1,Hawaii,Kilauea,Shield,Melt_Inclusion,Y,0.14,0.1,49.7,2.8,14.2,11.3,12.1,5.7,0.19,0.46,2.42,0.29,0.04,49.97651056,78.8
Moussallam_2016,1885A-og21,Hawaii,Kilauea,Shield,Glass,N,0.14,0.14,51,3.1,13.2,12.2,10.9,6.2,0.18,0.62,2.6,0.31,0.03,50.16275726,
Moussallam_2016,1885B-12m2,Hawaii,Kilauea,Shield,Melt_Inclusion,Y,0.15,0.1,50.1,2.8,14.3,9.7,12.5,6.7,0.15,0.56,2.54,0.34,0.19,57.77097276,80.9
Moussallam_2016,1885B-14m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.14,0.13,50.1,2.8,13.5,11.7,11.5,6.2,0.2,0.56,2.43,0.29,0.05,51.20870006,77.6
Moussallam_2016,1885B-14m2,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.14,0.12,50.5,2.8,13.6,12,11.8,5.5,0.19,0.56,2.33,0.29,0.04,47.58284604,77.6
Moussallam_2016,1885B-16m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.14,0.09,51.2,3,13.4,11.8,11.2,6,0.21,0.57,2.69,0.31,0.04,50.17642204,78.3
Moussallam_2016,1885A-26m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.14,0.1,50.6,3.4,13.6,12,11.9,4.5,0.19,0.63,2.65,0.34,0.03,42.61853034,77.5
Moussallam_2016,1885A-g03,Hawaii,Kilauea,Shield,Glass,N,0.13,0.13,50.5,3.1,13.2,11.8,10.9,6.3,0.18,0.6,2.59,0.31,0.03,51.39581412,
Moussallam_2016,1885B-og02,Hawaii,Kilauea,Shield,Glass,N,0.13,0.09,50.8,3,13.3,12.2,10.9,6.4,0.17,0.59,2.65,0.31,0.03,50.95635864,
Moussallam_2016,1885B-og12,Hawaii,Kilauea,Shield,Glass,N,0.13,0.11,50.4,3,13.3,11.3,11.1,6.3,0.18,0.57,2.6,0.3,0.03,52.47656873,
Moussallam_2016,S3-14m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.18,0.18,51.8,2.3,13.5,11.1,10.9,7.1,0.16,0.42,2.33,0.22,0.09,55.88624505,81.7
Moussallam_2016,S3-24m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.15,0.22,52.1,2.3,13.6,10.8,10.7,7.2,0.17,0.45,2.38,0.25,0.14,56.90391204,81.5
Moussallam_2016,S3-56m1,Hawaii,Kilauea,Shield,Melt_Inclusion,Y,0.15,0.16,51.4,2.4,13.8,11.8,11,7.1,0.17,0.43,2.34,0.25,0.2,54.37359951,81.7
Moussallam_2016,S3-57m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.14,0.15,51.7,2.4,13.8,11.5,11.1,6.9,0.18,0.39,2.36,0.24,0.1,54.3036086,81.3
Moussallam_2016,2010-S3-g04,Hawaii,Kilauea,Shield,Glass,Y,0.14,0.09,51.8,2.4,13.5,11.2,10.9,7.3,0.17,0.41,2.3,0.23,0.05,56.34947326,
Moussallam_2016,2010-S3-g56,Hawaii,Kilauea,Shield,Glass,N,0.13,0.11,51.2,2.3,13.7,11,10.8,7.5,0.17,0.39,2.31,0.22,0.04,57.45414512,
Moussallam_2016,2010-S3-g57,Hawaii,Kilauea,Shield,Glass,N,0.13,0.08,51.6,2.4,13.6,11.6,10.9,7.5,0.18,0.41,2.32,0.23,0.03,56.15105709,
Moussallam_2016,18-01m2,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.17,0.28,49.9,2.4,13.3,11.1,10.9,7.5,0.19,0.41,2.64,0.24,0.14,57.23277989,82
Moussallam_2016,18-07m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.19,0.31,50.9,2.4,13.5,11.7,10.8,7.6,0.19,0.42,2.37,0.23,0.19,56.26579737,81.8
Moussallam_2016,18-13m2,Hawaii,Kilauea,Shield,Melt_Inclusion,Y,0.19,,50.2,2.5,13.3,11,10.9,7.5,0.19,0.37,2.22,0.27,0.31,57.45414512,82
Moussallam_2016,18-22m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.16,0.26,51.2,2.4,13.6,10.8,11.1,7.3,0.2,0.43,2.34,0.23,0.08,57.24184348,82.1
Moussallam_2016,18-23m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.14,0.18,51.2,2.5,13.6,11.3,11.3,6.7,0.19,0.36,2.49,0.22,0.12,54.00892051,82.3
Moussallam_2016,18-25m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.17,0.25,50.8,2.4,13.5,11.4,11.3,7,0.18,0.38,2.42,0.22,0.26,54.87679061,82.5
Moussallam_2016,18-29m1,Hawaii,Kilauea,Shield,Melt_Inclusion,N,0.15,0.29,51.2,2.4,13.5,11.8,10.9,7,0.18,0.35,2.33,0.22,0.2,54.02148438,81.8
Moussallam_2016,2008-18-gb1,Hawaii,Kilauea,Shield,Glass,N,0.13,0.09,51.5,2.4,13.5,11.3,10.9,7.6,0.17,0.43,2.4,0.22,0.03,57.11984554,
Moussallam_2016,2008-18-og07,Hawaii,Kilauea,Shield,Glass,N,0.13,0.11,51.7,2.4,13.4,11,10.8,7.4,0.17,0.41,2.37,0.23,0.03,57.12570432,
Moussallam_2016,2008-18-og19,Hawaii,Kilauea,Shield,Glass,N,0.14,,51.7,2.4,13.7,11.3,10.9,7.5,0.2,0.4,2.34,0.22,0.04,56.79512769,
Moussallam_2016,2008-18-og25,Hawaii,Kilauea,Shield,Glass,N,0.15,,51.7,2.5,13.6,11.1,10.9,7.4,0.18,0.39,2.32,0.24,0.04,56.90391204,
