Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
1,AARR1,JennerandO'Neill/2012,MELVULC-5-024-025,,,,,LA-ICP-MS,,,GL,-56.04,-4.7,50.83,2.31,14.25,11.26,10.29,6.31,,0.22,3.52,0.27,,,7.3,45.5,2.45,383,129,41.4,45,58,123.8,20.8,4.21,152,44.8,176,7.18,1.9,0.047,0.88,8.2,22.27,3.53,18.39,5.84,1.93,6.97,1.26,8.27,1.78,5.08,,4.9,0.71,4.47,0.44,0.025,1.09,0.585,0.166,,,,,
1,AARR1,JennerandO'Neill/2012,MELVULC-5-024-032,,,,,LA-ICP-MS,,,GL,-56.04,-4.7,50.64,2.31,14.37,11.29,10.34,6.3,,0.22,3.53,0.27,,,7.6,45.7,2.44,382,130,41.4,47,57,125.2,20.8,4.21,151,44.7,175.3,7.15,1.9,0.047,0.93,8.13,22.19,3.52,18.2,5.78,1.9,6.94,1.22,8.14,1.73,5,,4.86,0.7,4.35,0.42,0.026,1.07,0.584,0.166,,,,,
1,AARR1,JennerandO'Neill/2012,MELVULC-5-024-017,,,,,LA-ICP-MS,,,GL,-56.04,-4.7,50.92,2.31,14.29,11.09,10.45,6.39,,0.21,3.38,0.24,,,7.1,44.5,2.4,373,127,40.9,48,58,123.9,20.6,4.22,151,44.3,169.8,7.04,1.9,0.049,0.88,8.01,22.02,3.46,17.94,5.65,1.89,6.94,1.19,8.11,1.72,4.97,,4.77,0.69,4.3,0.42,0.024,1.07,0.56,0.167,,,,,
1,AARR3,JennerandO'Neill/2012,MELVULC-5-027-019,,,,,LA-ICP-MS,,,GL,-56.89,-6.04,49.72,1.24,16.27,8.83,11.55,8.52,,0.13,3.03,0.14,,,4.5,36.8,1.32,235,323,44.5,100,85,88.5,17.4,1.79,151,22.6,69.7,3.53,1.01,0.019,0.43,3.44,9.58,1.51,8.25,2.7,1.06,3.5,0.62,4.07,0.85,2.54,,2.47,0.34,1.86,0.21,0.007,0.47,0.229,0.072,0.70277,0.51305,18.606,15.56,38.289
1,AARR3,JennerandO'Neill/2012,MELVULC-5-028-001,,,,,LA-ICP-MS,,,GL,-56.96,-6.13,49.83,2.12,15.59,10.79,10.06,6.68,,0.27,3.6,0.26,,,7.5,36.4,2.07,305,177,41.6,73,61,111.2,19.2,4.21,165,38.2,150.4,9.03,1.6,0.046,0.9,7.5,20.8,3.17,15.92,4.97,1.77,6.13,1.03,7.03,1.47,4.27,,3.99,0.58,3.82,0.52,0.02,0.82,0.517,0.186,,,,,
1,AARR3,JennerandO'Neill/2012,MELVULC-5-027-064,,,,,LA-ICP-MS,,,GL,-56.89,-6.04,51.21,2.56,14.71,11.21,9.03,6.12,,0.22,3.85,0.37,,,8.5,39.2,2.7,328,151,38.5,75,53,130.8,21.9,2.33,169,52.3,249.9,6.88,2.61,0.026,1.32,9.64,27.35,4.42,22.48,6.99,2.18,8.53,1.48,9.95,2.14,6.18,,5.86,0.87,5.88,0.45,0.031,1.27,0.462,0.162,,,,,
1,AARR3,JennerandO'Neill/2012,MELVULC-5-027-001,,,,,LA-ICP-MS,,,GL,-56.89,-6.04,50.21,1.74,15.7,9.4,11.05,7.46,,0.21,3.33,0.22,,,5.5,40.3,1.82,289,235,42,78,69,95,18.6,3.55,188,28.3,113.6,7.31,1.33,0.039,0.73,6.52,16.18,2.54,12.76,3.93,1.44,4.68,0.82,5.57,1.15,3.35,,3.13,0.46,2.86,0.44,0.015,0.7,0.44,0.145,,,,,
1,AARR3,JennerandO'Neill/2012,MELVULC-5-027-007,,,,,LA-ICP-MS,,,GL,-56.89,-6.04,49.89,1.54,16.1,9.16,10.96,7.91,,0.2,3.39,0.18,,,4.9,38.4,1.63,263,261,44.3,113,73,94.9,17.9,2.98,181,26,95,5.88,1.22,0.031,0.62,5.33,14.12,2.19,11.05,3.44,1.27,4.15,0.73,4.75,1.01,2.89,,2.86,0.4,2.4,0.35,0.015,0.66,0.346,0.116,,,,,
1,AARR3,JennerandO'Neill/2012,MELVULC-5-029-033,,,,,LA-ICP-MS,,,GL,-57.05,-6.06,49.58,1.66,15.74,9.88,11.03,7.84,,0.19,3.22,0.2,,,6.3,37.1,1.63,287,279,43.4,111,64,94.9,17.6,3.15,145,32.6,115.5,5.73,1.24,0.039,0.6,5.49,15.65,2.43,12.35,3.88,1.44,5.15,0.86,5.65,1.23,3.51,,3.45,0.5,3,0.33,0.017,0.67,0.424,0.143,,,,,
1,AARR3,JennerandO'Neill/2012,MELVULC-5-029-001,,,,,LA-ICP-MS,,,GL,-57.05,-6.06,50.87,1.76,14.68,10.09,11.16,6.86,,0.19,3.51,0.2,,,7.1,42.4,1.72,306,203,42,46,74,98,18.2,3.09,174,29.8,107.3,6.37,1.21,0.034,0.68,5.57,15.55,2.37,12.28,3.99,1.43,4.79,0.8,5.35,1.15,3.27,,3.1,0.45,2.77,0.37,0.016,0.67,0.381,0.112,,,,,
