,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe
410,OIB,Oahu,Sobolev_1994,samp.C-163,Oahu,Rejuvenated,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,42.3737,2.60136,12.3971,13.9213,11.1777,12.9052,0.203231,0.812926,2.94685,0.660502,1.7449700000000001,,,,,,,,,,,,13.3,,,156.0,,,1.43,605.0,38.55,82.7,,,7.56,2.93,,0.89,,,,,1.75,,3.89,2.93,,,4.5,1.2,,,,,,0.17
411,OIB,Oahu,Sobolev_1994,samp.C-195,Oahu,Rejuvenated,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,39.7062,2.46888,11.5589,13.3748,13.079,13.0382,0.20404,1.20384,3.86656,0.948786,2.2999,0.54,,41.0,,,,71.0,320.0,,,,29.0,220.0,30.0,142.0,50.0,,0.35,715.0,58.0,109.0,,,10.1,3.19,,1.44,6.9,,,,2.2,0.33,3.2,3.15,,,12.0,1.72,,,,,,0.17
958,OIB,Oahu,Frey_1994,samp.KOO-1,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.85,53.0509,2.12685,14.1857,9.92979,9.49058,7.16308,0.150485,0.43139,3.17021,0.30097,0.44208000000000003,,,25.2,,245.0,264.0,40.0,114.0,,107.0,20.1,5.48,430.2,21.5,156.0,8.6,,0.067,89.6,11.0,30.7,,20.1,5.39,1.81,,0.75,,,,,1.69,0.26,3.62,0.5,,,0.41,,,,,,,0.15
959,OIB,Oahu,Frey_1994,samp.KOO-5,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,52.3897,2.11593,13.7943,10.5814,9.66413,7.36508,0.162764,0.569675,3.04166,0.315356,0.49104000000000003,,,26.1,,247.0,318.0,43.2,115.0,,111.0,20.9,7.47,449.3,21.8,156.0,9.7,,0.124,106.6,12.9,34.1,,22.0,5.65,1.94,,0.68,,,,,1.68,0.26,3.54,0.55,,,0.63,,,,,,,0.15
960,OIB,Oahu,Frey_1994,samp.KOO-7,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.3164,-157.66,52.43,2.21309,13.9525,10.5813,9.95889,7.03158,0.171011,0.513034,2.83677,0.311844,0.43344000000000005,,,27.4,,247.0,260.0,43.0,134.0,,116.0,21.7,6.32,426.0,23.5,152.0,9.2,,0.072,87.7,10.9,30.1,,20.0,5.22,1.8,,0.78,,,,,1.7,0.25,3.7,0.54,,,0.48,,,,,,,0.15
961,OIB,Oahu,Frey_1994,samp.KOO-8,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,52.4348,2.11268,13.8431,10.4826,9.84912,7.29378,0.160966,0.472838,3.03824,0.311872,0.47231999999999996,,,25.8,,243.0,326.0,43.5,117.0,,109.0,19.4,6.95,480.0,23.1,154.0,9.9,,0.078,114.8,12.1,32.8,,21.3,5.31,1.83,,0.9,,,,,1.47,0.25,3.57,0.56,,,,,,,,,,0.15
962,OIB,Oahu,Frey_1994,samp.KOO-9,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,54.1481,1.55056,13.7118,9.88492,8.44195,8.77639,0.172285,0.192554,2.90857,0.212822,0.2448,,,22.8,,187.0,442.0,45.2,179.0,,101.0,19.5,2.11,289.5,19.7,100.0,5.4,,0.028,52.9,6.44,17.0,,12.0,3.74,1.34,,0.66,,,,,1.55,0.22,2.38,0.3,,,0.18,,,,,,,0.15
963,OIB,Oahu,Frey_1994,samp.KOO-10,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,51.9458,1.73766,13.012,10.6229,8.45321,10.9473,0.183988,0.245317,2.62693,0.224874,0.31536,,,22.9,,205.0,652.0,55.0,274.0,,118.0,19.1,2.98,351.7,18.8,118.0,7.8,,0.039,65.5,8.45,21.9,,15.4,4.27,1.54,,0.59,,,,,1.5,0.2,2.82,0.49,,,0.33,,,,,,,0.15
964,OIB,Oahu,Frey_1994,samp.KOO-11,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,53.3478,1.97697,14.224,10.1442,9.30697,7.18806,0.172351,0.395394,2.98066,0.263596,0.3744,,,,,230.0,288.0,,125.0,,106.0,20.5,4.9,388.0,24.1,139.0,8.4,,,69.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
965,OIB,Oahu,Frey_1994,samp.KOO-12,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.65,52.0651,2.29609,14.1541,10.5137,9.76603,7.44953,0.173482,0.428603,2.84715,0.306145,0.432,,,,,256.0,296.0,,154.0,,110.0,19.4,5.9,435.0,24.9,162.0,10.3,,,80.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
