,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe
1,OIB,Hawaii,Rhodes_1996,samp.R159-4.10,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.2796,3.65259,13.3557,13.0462,11.4839,8.72169,0.202359,0.333893,2.55985,0.364247,0.7056,,,,,327.0,611.0,,177.0,,131.0,23.0,1.3,448.0,30.3,227.0,24.5,,,190.0,15.0,49.0,,,,,,,,,,,,,,,,3.0,,,,,,,,0.15
2,OIB,Hawaii,Rhodes_1996,samp.R160-5.75,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.5264,3.26039,12.0391,12.901,10.5811,11.3405,0.192383,0.425268,2.40985,0.324014,0.6192,,,,,300.0,881.0,,324.0,,125.0,21.0,3.1,427.0,28.0,204.0,21.3,,,203.0,17.0,43.0,,,,,,,,,,,,,,,,3.0,,,,,,,,0.15
3,OIB,Hawaii,Rhodes_1996,samp.R168-7.75,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.5202,3.03256,13.9599,12.1063,12.1404,8.24856,0.192062,0.161737,2.31485,0.323473,0.6048,,,,,282.0,391.0,,154.0,,118.0,21.0,1.3,427.0,29.8,205.0,18.9,,,131.0,16.0,42.0,,,,,,,,,,,,,,,,3.0,,,,,,,,0.15
4,OIB,Hawaii,Rhodes_1996,samp.R169-3.55,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.9492,3.10265,14.3168,12.1524,11.7718,7.42203,0.192648,0.243345,2.51457,0.3346,0.648,,,,,269.0,169.0,,115.0,,112.0,23.0,3.0,450.0,30.5,214.0,19.2,,,161.0,13.0,45.0,,,,,,,,,,,,,,,,2.0,,,,,,,,0.15
5,OIB,Hawaii,Rhodes_1996,samp.R171-4.55,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.1636,2.26037,11.2613,11.5922,10.8761,14.363,0.182451,0.162179,1.9056,0.233132,0.432,,,,,231.0,879.0,,456.0,,105.0,18.0,1.1,325.0,23.1,148.0,12.8,,,143.0,12.0,30.0,,,,,,,,,,,,,,,,1.0,,,,,,,,0.15
6,OIB,Hawaii,Rhodes_1996,samp.R177-2.60,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,44.3254,4.01851,14.6026,13.9977,9.91436,8.33131,0.192807,0.852412,3.28787,0.476945,0.8352,,,,,267.0,116.0,,151.0,,129.0,26.0,15.0,628.0,34.8,287.0,28.0,,,253.0,20.0,58.0,,,,,,,,,,,,,,,,3.0,,,,,,,,0.15
7,OIB,Hawaii,Rhodes_1996,samp.R180-5.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.7142,2.88624,12.8513,11.4179,10.6234,8.94227,0.172161,0.587374,2.49128,0.313942,0.5328,,,,,238.0,413.0,,207.0,,110.0,20.0,10.1,387.0,29.0,199.0,17.0,,,157.0,13.0,37.0,,,,,,,,,,,,,,,,4.0,,,,,,,,0.15
8,OIB,Hawaii,Rhodes_1996,samp.R185-3.95,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.8182,2.92334,13.3725,11.7231,11.046,7.51572,0.182077,0.566461,2.53896,0.313577,0.504,,,,,277.0,295.0,,134.0,,110.0,21.0,9.6,388.0,28.8,197.0,17.9,,,172.0,16.0,35.0,,,,,,,,,,,,,,,,2.0,,,,,,,,0.15
9,OIB,Hawaii,Rhodes_1996,samp.R189-8.50,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,44.5491,1.17742,6.07996,12.0284,5.94801,28.6743,0.172553,0.0812015,1.16727,0.121802,0.2592,,,,,143.0,1730.0,,1321.0,,103.0,9.0,0.2,172.0,13.2,78.0,6.9,,,66.0,3.0,18.0,,,,,,,,,,,,,,,,4.0,,,,,,,,0.15
10,OIB,Hawaii,Rhodes_1996,samp.R193-3.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.8025,1.86098,8.97948,12.3712,7.37273,21.6606,0.183047,0.0813543,1.49489,0.193216,0.3312,,,,,189.0,1221.0,,930.0,,117.0,15.0,0.8,236.0,19.3,123.0,9.9,,,74.0,7.0,23.0,,,,,,,,,,,,,,,,2.0,,,,,,,,0.15
