Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,P_err,T,T_err,Fit_Tp
OIB,Hawaii,Rhodes_1996,samp.R159-4.10,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.8052803,3.615154599,13.21881741,10.97561605,11.36620149,8.632301384,0.200285022,0.33047093,2.533614093,0.360513832,0.698368304,0,0,0,0,327,611,0,177,0,131,23,1.3,448,30.3,227,24.5,0,0,190,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,2.152695689,0.088388486,0.022292409,0,0,13.0462,100,44.18998857,9.274140828,11.38337504,1.510301744,20.16101072,7.974370932,1.777548867,0.231853868,2.536342838,0.140517222,0.062012148,0.252931555,0.015640048,0,0.489965615,0,0.261720192,3.176089062,0.24,1559.256257,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R160-5.75,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.06353919,3.227954506,11.91933085,10.85675791,10.47583554,11.22768076,0.190469107,0.421037286,2.385875974,0.320790596,0.613039983,0,0,0,0,300,881,0,324,0,125,21,3.1,427,28,204,21.3,0,0,203,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,2.129383521,0.127485941,0.04081884,0,0,12.901,100,44.8598059,9.315904748,10.9946968,1.664282526,19.25060948,8.187698394,1.864751772,0.329074115,2.522903098,0.148866751,0.0996404,0.250723356,0.031903169,0,0.479139489,0,0.19775371,2.881670973,0.24,1528.4529,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R171-4.55,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.78362931,2.242159466,11.17057402,9.77398692,10.78847736,14.24728536,0.180981095,0.160872415,1.890247649,0.231253786,0.428519618,0,0,0,0,231,879,0,456,0,105,18,1.1,325,23.1,148,12.8,0,0,143,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.15,1.9170149,0.127439592,0.057558517,0,0,11.5922,100,46.37765347,10.41555639,9.808864895,1.787444115,16.59167608,10.05928559,1.762486059,0.149999069,2.090612202,0.168748606,0.118825967,0.215623373,0.053668144,0,0.399556033,0,0.065420561,2.096530212,0.24,1446.506348,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R180-5.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.31454839,2.863037566,12.74798862,9.627194942,10.53799867,8.870383244,0.170777001,0.58265211,2.471252643,0.311418226,0.52851683,0,0,0,0,238,413,0,207,0,110,20,10.1,387,29,199,17,0,0,157,13,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.15,1.888223946,0.059878814,0.026128997,0,0,11.4179,100,47.42298145,10.01349676,10.09074338,1.483192755,17.20282256,8.277558025,1.941159587,0.457671025,2.24890516,0.134144687,0.047034582,0.244617836,0.020524228,0,0.415147967,0,0.194522755,2.072102634,0.24,1454.197433,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R189-8.50,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,44.15995543,1.16713502,6.026850433,10.13483026,5.89605304,28.42382472,0.171045718,0.08049219,1.157073682,0.120738037,0.25693584,0,0,0,0,143,1730,0,1321,0,103,9,0.2,172,13.2,78,6.9,0,0,66,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.15,1.987788686,0.250648049,0.16662889,0,0,12.0284,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R193-3.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.42331696,1.845573591,8.905141995,10.42846565,7.311693721,21.48127939,0.181531617,0.080680796,1.482514323,0.191616432,0.32845811,0,0,0,0,189,1221,0,930,0,117,15,0.8,236,19.3,123,9.9,0,0,74,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,2.045380682,0.17698394,0.117362783,0,0,12.3712,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R197-0.80,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.80628891,1.545947248,7.298080734,10.12708673,6.685730609,23.86186643,0.18069561,0.26100488,1.475680976,0.16061854,0.242817382,0,0,0,0,165,1641,0,1030,0,102,12,4.3,205,16.3,102,8.5,0,0,79,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,1.986269914,0.237906043,0.130005993,0,0,12.0115,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R208-5.20,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.85436115,2.710233335,12.30644622,9.489082863,10.65015617,10.047968,0.17064377,0.532008215,2.378975325,0.311174168,0.585237684,0,0,0,0,224,486,0,255,0,110,20,9.2,415,25,180,17,0,0,157,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,1.861135418,0.070412658,0.032165026,0,0,11.2621,100,47.44054253,10.20288034,9.802854019,1.543007757,16.55093567,8.829703319,1.972332236,0.441070969,2.246967641,0.141475284,0.058376879,0.257984534,0.026666993,0,0.485201817,0,0.157894737,1.987496329,0.24,1438.126496,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R212-0.40,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.28042182,1.716320446,8.571485339,10.30843631,7.259007332,22.45344519,0.181727114,0.080767793,1.3528563,0.161535984,0.328501365,0,0,0,0,189,1120,0,961,0,112,14,0.8,222,17.9,119,9.5,0,0,68,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,2.021838801,0.16236537,0.121290847,0,0,12.2272,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R215-7.20,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.69466775,1.499995058,7.44965966,9.901718313,6.906038555,24.15100671,0.171140602,0.191274791,1.338929487,0.151006414,0.242848312,0,0,0,0,169,1494,0,1133,0,106,12,2.8,201,15.8,99,8.1,0,0,75,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.942067418,0.216622123,0.143024809,0,0,11.7427,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
