Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,P_err,T,T_err,Fit_Tp
OIB,Hawaii,Rhodes_1996,samp.R159-4.10,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.42889896,3.585448924,13.11019857,10.24511018,11.27280557,8.561369885,0.198639283,0.327755455,2.512795422,0.357551495,1.442978796,0,0,0,0,327,611,0,177,0,131,23,1.3,448,30.3,227,24.5,0,0,190,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.846676025,0.087662199,0.022109233,0,0,13.0462,100,44.41124401,10.50599242,10.75334572,2.281213101,16.17506354,9.033578646,2.013654446,0.262650204,2.873236359,0.159181632,0.070249004,0.286527567,0.017717461,0,1.156345894,0,0.181334425,2.420213699,0.24,1428.316705,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R160-5.75,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.7273116,3.204392978,11.83232911,10.14354082,10.39937018,11.14572753,0.189078832,0.417964045,2.368460957,0.318449077,1.26784432,0,0,0,0,300,881,0,324,0,125,21,3.1,427,28,204,21.3,0,0,203,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.818454262,0.126555394,0.040520894,0,0,12.901,100,45.11905358,10.45799131,10.3380915,2.491087757,15.39049472,9.191472109,2.09336166,0.36941707,2.832199275,0.167117122,0.111855849,0.281460873,0.035814349,0,1.120582834,0,0.109924344,2.198878365,0.24,1406.925861,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R171-4.55,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.53777298,2.230376517,11.11187066,9.15070388,10.73178198,14.17241333,0.180030007,0.160027001,1.88031406,0.230038506,0.888057648,0,0,0,0,231,879,0,456,0,105,18,1.1,325,23.1,148,12.8,0,0,143,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,2.542587526,0.126769874,0.057256037,0,0,11.5922,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R180-5.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.00305445,2.844953271,12.66746631,9.003656508,10.4714357,8.814353721,0.169698293,0.578971805,2.455643046,0.309451161,1.094121809,0,0,0,0,238,413,0,207,0,110,20,10.1,387,29,199,17,0,0,157,13,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2,2.501729377,0.059500591,0.025963954,0,0,11.4179,100,47.92010239,11.0681403,9.402806613,2.185874511,13.68714921,9.149368672,2.145606791,0.505873946,2.485764806,0.148273101,0.051988367,0.270381526,0.022685885,0,0.955983887,0,0.118942731,1.569192332,0.24,1370.949508,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R189-8.50,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,44.00822523,1.163124834,6.00614264,9.505889662,5.875794658,28.32616266,0.170458018,0.080215625,1.153098066,0.120323191,0.53344381,0,0,0,0,143,1730,0,1321,0,103,9,0.2,172,13.2,78,6.9,0,0,66,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2,2.641278397,0.249786842,0.166056366,0,0,12.0284,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R193-3.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.23145237,1.83777803,8.86752736,9.773568579,7.28080969,21.39054412,0.180764842,0.080340006,1.476252297,0.190807059,0.68139735,0,0,0,0,189,1221,0,930,0,117,15,0.8,236,19.3,123,9.9,0,0,74,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2,2.715654869,0.176236374,0.116867052,0,0,12.3712,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R197-0.80,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.6558842,1.540871139,7.274117525,9.500079525,6.663778049,23.78351612,0.180102296,0.260147871,1.470835586,0.16009115,0.504208525,0,0,0,0,165,1641,0,1030,0,102,12,4.3,205,16.3,102,8.5,0,0,79,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.639664009,0.23712488,0.129579119,0,0,12.0115,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R208-5.20,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.51658644,2.691495023,12.22136054,8.869154058,10.57652193,9.978497241,0.169463955,0.528329958,2.362527301,0.309022737,1.210815422,0,0,0,0,224,486,0,255,0,110,20,9.2,415,25,180,17,0,0,157,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.464356924,0.069925831,0.03194264,0,0,11.2621,100,47.8581551,11.21449096,9.097189129,2.261328299,13.09762494,9.7051641,2.167888016,0.484802941,2.469753388,0.155502489,0.064164918,0.283563575,0.029311012,0,1.111061126,0,0.079189687,1.502346252,0.24,1354.467178,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R212-0.40,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.089493,1.709083432,8.53534293,9.661148134,7.2283991,22.35876829,0.180960846,0.080427229,1.347151864,0.160854853,0.681492105,0,0,0,0,189,1120,0,961,0,112,14,0.8,222,17.9,119,9.5,0,0,68,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.684418057,0.161680743,0.120779414,0,0,12.2272,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R215-7.20,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.54528493,1.495091346,7.425305589,9.288798201,6.883461664,24.07205339,0.170581117,0.190649484,1.334552322,0.150512751,0.504280008,0,0,0,0,169,1494,0,1133,0,106,12,2.8,201,15.8,99,8.1,0,0,75,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2,2.580958005,0.215913952,0.142557239,0,0,11.7427,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R224-1.75,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.19293561,2.718557227,12.84591676,8.902895915,10.52566358,8.85273334,0.169287107,0.46802993,2.379986956,0.288784236,1.094133577,0,0,0,0,243,433,0,199,0,106,21,7.1,361,27.9,185,15.3,0,0,134,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2,2.473732337,0.062382647,0.024960785,0,0,11.29,100,48.14510633,11.30853627,9.285630545,2.177679678,13.47337528,9.265967596,2.095153607,0.412016794,2.393204284,0.149027074,0.054916783,0.254222962,0.021973515,0,0.963189275,0,0.11308204,1.482921114,0.24,1360.772618,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R229-0.05,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.3072072,2.273045554,11.11379342,9.115102755,9.484429682,13.49743057,0.170981285,0.352019945,1.971314456,0.231327505,0.770604293,0,0,0,0,221,849,0,457,0,112,18,5.6,310,23.6,152,12.7,0,0,120,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.532695502,0.122595081,0.057452749,0,0,11.5328,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R233-3.80,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.13743449,2.245014274,11.0345898,9.054174439,9.170469489,14.17163099,0.170379956,0.410917412,1.934314379,0.230514814,0.711526478,0,0,0,0,217,982,0,568,0,110,17,5.9,300,23,147,12.6,0,0,110,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,2.51576614,0.141839957,0.071427376,0,0,11.4525,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
