Unnamed: 0,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,T,P_err,T_err,Fit_Tp
133,OIB,Hawaii,Frey_1991,samp.LP-6,Mauna_Kea,Post-Shield,VOLCANICROCK,PICRITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/HAMAKUASERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,20.0,-155.25,45.08705765550139,2.5674216793411695,10.624824907350053,11.129826024823121,8.950439275647552,16.13515270845082,0.19280996353869648,0.3247327265758,1.7657357485173257,0.31458436454188227,0.4944119529886778,0.0,0.0,25.1,0.0,205.0,984.0,80.0,615.0,0.0,121.0,18.0,1.7,382.0,23.0,194.0,17.4,0.0,0.0,179.0,14.9,36.7,0.0,22.3,5.76,2.11,0.0,0.91,0.0,0.9,0.0,0.0,1.63,0.25,4.4,0.93,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.1829415669265084,0.14246481614049517,0.07752055903580841,0.010076050620694083,0.0,13.2186,100.0,44.64921556868622,9.551706708857902,11.058542771431577,1.9624622327124148,19.43675069278829,8.046435741005604,1.587394629300267,0.2919343885727522,2.308109459955949,0.17333595972891633,0.12807572378571752,0.2828110214990759,0.06969090317003844,0.009058359187255515,0.4444758393180267,0.0,0.09624943515589704,2.861692300755689,1526.2077774584745,0.24,39.0,True
135,OIB,Hawaii,Frey_1991,samp.LP-8,Mauna_Kea,Post-Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/HAMAKUASERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,20.0,-155.25,46.704757419613536,3.178490339878955,13.235355967849047,10.582921547600801,9.946536393442242,8.572907765174127,0.1905087319105764,0.9224641139458536,3.178490339878955,0.4812855816842187,0.8510773424761265,0.0,0.0,27.4,0.0,227.0,338.0,54.0,190.0,0.0,119.0,23.0,8.4,505.0,37.0,313.0,29.0,0.0,0.0,307.0,25.9,63.3,0.0,36.7,9.22,3.15,0.0,1.54,0.0,1.1,0.0,0.0,2.86,0.37,6.9,1.53,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.075674794399775,0.048839549018670436,0.023902195948002684,0.006787917179136851,0.0,12.5939,100.00000000000001,44.968750494428726,9.582825198047752,11.036317950115196,1.5028555915719197,19.276893710297863,7.2016136034358205,2.301329665385141,0.6678938123680623,2.301329665385141,0.13793447498015998,0.035361410915906305,0.34846630576647225,0.017305961862725695,0.004914671274766235,0.6162074841643389,0.0,0.24414210128495856,3.0175478115545533,1530.0478906635576,0.24,39.0,True
136,OIB,Hawaii,Frey_1991,samp.LP-9,Mauna_Kea,Post-Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/HAMAKUASERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,20.0,-155.25,45.639061651478805,3.2055493529984678,12.99250453932316,10.726174828077548,10.758684315484992,9.676764613013129,0.19032980233054647,0.7212500900067149,2.854942083017998,0.38065960466109294,0.6546068788065065,0.0,0.0,30.7,0.0,261.0,420.0,61.0,216.0,0.0,116.0,23.0,10.9,496.0,29.0,236.0,23.0,0.0,0.0,226.0,20.6,48.6,0.0,28.9,7.47,2.69,0.0,0.99,0.0,1.0,0.0,0.0,2.31,0.31,5.6,1.31,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.1037716882644073,0.060797148678695796,0.027221805662786914,0.0076815981951329675,0.0,12.7415,100.00000000000001,44.32948858326138,9.698252531756372,11.025330227174509,1.5703599748759824,19.29723939122904,8.030817852341123,2.1310709725631876,0.5383769919238021,2.3927817022726936,0.1420716445958675,0.04538202001870879,0.284143289191735,0.02031971163751127,0.005733927505540391,0.4886311796525288,0.0,0.2263056092843328,3.154020990480892,1543.0357585052411,0.24,39.0,True
138,OIB,Hawaii,Frey_1991,samp.LP-1,Mauna_Kea,Post-Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/HAMAKUASERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,20.0,-155.25,46.13445638309142,3.271665170209228,13.869409599155338,10.745929145580927,10.387011937049374,8.520371687373311,0.2007151635480501,0.5519679350003494,2.749799618177968,0.4917532871164775,0.8910352792189855,0.0,0.0,28.1,0.0,263.0,338.0,53.0,181.0,0.0,135.0,24.0,5.8,562.0,39.0,347.0,32.0,0.0,0.0,313.0,27.7,66.3,0.0,38.5,9.71,3.31,0.0,1.31,0.0,1.5,0.0,0.0,2.95,0.4,7.5,1.67,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.107646189151323,0.04881886716662082,0.022760344368059047,0.006659393792579166,0.0,12.7933,100.00000000000001,44.490081103927935,9.892433168826448,11.192187591110443,1.50329031100076,19.639629869907534,7.40859375999111,1.9613097988069137,0.3936941849823692,2.333533292508935,0.14316120143211297,0.034820327236786255,0.3507457540692088,0.01623394160730619,0.004749849484724932,0.6355358451074405,0.0,0.2526158445440958,3.0409578539777624,1532.1880796525725,0.24,39.0,True
139,OIB,Hawaii,Frey_1991,samp.LP-4,Mauna_Kea,Post-Shield,VOLCANICROCK,ANKARAMITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/HAMAKUASERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,20.0,-155.25,47.16102128194694,2.3100517519483232,10.320223738798742,9.858826820312046,10.790257263156786,14.200304400656327,0.1800041098404945,0.4500092835965465,1.8400380476840739,0.25000570811179795,0.4744137650868296,0.0,0.0,32.2,0.0,253.0,1180.0,69.0,409.0,0.0,111.0,17.0,7.0,356.0,21.0,162.0,16.4,0.0,0.0,163.0,13.8,35.2,0.0,20.8,5.09,1.87,0.0,0.67,0.0,0.7,0.0,0.0,1.64,0.21,3.7,0.9,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.9336549213967689,0.17091738963905284,0.05157708683026677,0.008694430994996106,0.0,11.7039,99.99999999999997,46.68445565914011,9.550798928982745,9.894265059648678,1.7894911796212825,16.787114789401674,9.985789079840407,1.7028539167266272,0.4164588183924851,2.137825725178601,0.1665838942051074,0.15817463489403016,0.2313665197293161,0.04773175447801884,0.0080462172465254,0.4390438225143917,0.0,0.07192575406032486,2.1048944419508473,1454.6916360431069,0.24,39.0,True
140,OIB,Hawaii,Frey_1991,samp.LP-5,Mauna_Kea,Post-Shield,VOLCANICROCK,ANKARAMITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/HAMAKUASERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,20.0,-155.25,46.80767320805343,2.8353110955333904,10.679994838428268,11.034164956544322,9.638040259365354,12.593617241698881,0.20037549984895844,0.7113317870585962,2.204125548717718,0.34063785478114683,0.6058335889512267,0.0,0.0,27.8,0.0,240.0,918.0,68.0,344.0,0.0,104.0,20.0,12.8,452.0,25.0,216.0,23.5,0.0,0.0,259.0,19.2,45.0,0.0,25.4,6.25,2.27,0.0,0.97,0.0,0.8,0.0,0.0,1.89,0.28,4.8,1.38,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.1641791422653647,0.13282295604166694,0.043332940396651955,0.008559082315016498,0.0,13.1135,99.99999999999999,45.61887714878936,8.631562839455324,11.062823556878008,1.749087761268163,19.424259237101264,7.789456025631834,1.7813724133415265,0.5748977515987168,2.2914960410320684,0.16194331032917308,0.10734740128063396,0.2753032275316554,0.03502164595681751,0.00691744312312871,0.48963419668232927,0.0,0.1755976916735368,2.7537830328147033,1527.2616869482672,0.24,39.0,True
143,OIB,Hawaii,Frey_1991,samp.MU-8,Mauna_Kea,Post-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/HAMAKUASERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,20.0,-155.25,47.384656537607746,2.761243829830303,12.284554769663835,10.605613071411476,11.327119734954914,10.843395438139668,0.191473126761101,0.18139611558497853,1.4007779201503514,0.29224918717119014,0.4840613869175561,0.0,0.0,36.4,0.0,297.0,866.0,61.0,239.0,0.0,116.0,21.0,0.5,355.0,27.0,182.0,16.1,0.0,0.0,161.0,14.3,35.9,0.0,22.6,5.91,2.15,0.0,0.86,0.0,0.9,0.0,0.0,1.9,0.25,4.2,1.02,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.080125382435271,0.12549126876552397,0.030152461791284835,0.007689768814805431,0.0,12.5849,100.00000000000001,45.90448603048221,9.625383689323025,10.803299611651587,1.629851899662071,18.872287243221237,8.875199434421797,1.0975591055424125,0.14213028025809293,2.1635323233305743,0.15002597536714937,0.09832685304240617,0.22898758743476075,0.023625521588741368,0.006025206180648469,0.37927923849330025,0.0,0.19614147909967858,2.347809730611724,1491.648200793281,0.24,39.0,True
144,OIB,Hawaii,Frey_1991,samp.MU-9,Mauna_Kea,Post-Shield,VOLCANICROCK,ANKARAMITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/HAMAKUASERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,20.0,-155.25,46.282616078783875,2.0556590639542285,9.693847703961014,10.427569776129756,10.88294758073361,16.05228324085907,0.19145834503537043,0.2216889752920168,1.2696706084473308,0.2216889752920168,0.3910064792975875,0.0,0.0,33.5,0.0,243.0,1390.0,76.0,423.0,0.0,101.0,16.0,1.2,312.0,20.0,140.0,14.1,0.0,0.0,162.0,12.2,29.0,0.0,18.3,4.52,1.67,0.0,0.76,0.0,0.64,0.0,0.0,1.46,0.2,3.3,0.83,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.045204970461516,0.20141433760052785,0.053363610571834225,0.009580253580234043,0.0,12.3742,99.99999999999997,45.960769778661245,9.1248964085796,10.41267393769937,1.9251678033014517,17.98765050373908,10.244205637109276,1.1951511029378061,0.20867760627570434,1.9350083251540497,0.18022127212623584,0.1895929275901992,0.20867760627570434,0.050231593617548094,0.009017969350997676,0.3680575275817493,0.0,0.05704856199905709,2.2619140263659063,1484.080884734528,0.24,39.0,True
145,OIB,Hawaii,Frey_1991,samp.MU-10,Mauna_Kea,Post-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/HAMAKUASERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,20.0,-155.25,45.70368423243764,2.542440986385391,11.63695703863982,10.767973403665417,9.797946197078524,14.350248473691297,0.1808854349955096,0.2110330074947612,1.718414605492991,0.2914258734848434,0.5121549412449699,0.0,0.0,27.3,0.0,259.0,745.0,70.0,461.0,0.0,111.0,19.0,2.2,427.0,23.0,178.0,17.6,0.0,0.0,183.0,15.2,38.0,0.0,23.2,5.47,1.94,0.0,0.95,0.0,0.73,0.0,0.0,1.72,0.25,4.1,1.03,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.111969826122589,0.10791049115366055,0.05813498684606759,0.008820501266545771,0.0,12.7831,100.00000000000003,45.06618507162891,10.152501201853802,10.755280939813245,1.8425586797985454,18.722512083131914,8.54808178901426,1.4992069051747487,0.18411281017084574,2.218117252148686,0.15781098014643938,0.09414500607782822,0.2542504471729142,0.05071906013442192,0.007695323563730035,0.44682245016972894,0.0,0.12010558732952054,2.60243037221942,1497.2519207235746,0.24,39.0,True
146,OIB,Hawaii,Frey_1991,samp.KI-1,Mauna_Kea,Post-Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/POST-SHIELDSTAGE/WAIMEACANYONSERIES/PACIFICOCEAN,0.155,0.085,Stratigraphic,19.83,-155.42,46.0795180112823,3.113618601146845,13.15981521225468,10.627590978766337,10.902649319493385,9.895054983458298,0.18137589856570221,0.6448910928914537,2.2470389181688986,0.36275179713140443,0.6064293982922485,0.0,0.0,29.9,0.0,249.0,418.0,60.0,212.0,0.0,117.0,22.0,11.1,515.0,29.0,225.0,22.0,0.0,0.0,237.0,18.3,45.0,0.0,26.0,7.01,2.51,0.0,1.16,0.0,0.9,0.0,0.0,2.12,0.29,5.1,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.0844360057470803,0.060538776661988765,0.026731447512630693,0.007559558626750921,0.0,12.6179,100.0,44.72392155804073,9.966578654313127,10.9135043387701,1.5786464373614317,19.068741760320982,8.257115334107143,1.7017936616904945,0.4884079067298294,2.358097297518651,0.13736493483346462,0.04584900847815419,0.27472986966692925,0.020245046748846432,0.005725227476997095,0.4592789639431398,0.0,0.21752738654147116,2.8732653843627975,1518.8929366321781,0.24,39.0,True
