Unnamed: 0,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,T,P_err,T_err,Fit_Tp
305,OIB,Kauai,Feigenson_1984,samp.GQ1,Kauai,Rejuvenated,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/KAUAI/KAUAI/SHIELDSTAGE/WAIMEACANYONSERIES-MAKAWELIFORMATION/PACIFICOCEAN,5.1,0.2,Stratigraphic,22.0,-159.5,41.49252677088215,2.252851045456997,10.2830445616397,10.870171048936047,11.764902979462237,16.220496098691907,0.19024123510884527,0.44055823619155654,2.0325758559360274,0.44055823619155654,1.3988181678047127,0.0,0.0,25.0,0.0,293.0,580.0,0.0,444.0,79.0,0.0,0.0,20.0,556.0,0.0,138.0,0.0,0.0,0.0,520.0,32.4,67.5,0.0,32.9,7.83,2.31,6.6,0.0,5.31,0.0,2.39,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70299,0.51307,0.0,0.0,0.0,0.17,2.474506555035131,0.0832590716346676,0.05549013702847005,0.0,0.0,13.3347,100.00000000000003,41.44091540801688,9.535438709923296,10.825874237346058,2.2946030673505535,18.600493185528258,10.909561911979823,1.8848019554295623,0.40852843087228863,2.089062527909181,0.17641016982923938,0.07720590627207088,0.40852843087228863,0.05145585020744553,0.0,1.297120208463058,0.0,0.07019990701999074,3.788052658836129,1566.1493840595117,0.24,39.0,True
410,OIB,Oahu,Sobolev_1994,samp.C-163,Oahu,Rejuvenated,VOLCANICROCK,BASANITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,41.53936227882372,2.550139248110051,12.153001227336897,11.327167488241917,10.957611200910183,12.651096743514865,0.19922938368109516,0.7969194953444012,2.8888265535308855,0.6474967223510721,1.710611558482715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,156.0,0.0,0.0,1.43,605.0,38.55,82.7,0.0,0.0,7.56,2.93,0.0,0.89,0.0,0.0,0.0,0.0,1.75,0.0,3.89,2.93,0.0,0.0,4.5,1.2,0.0,0.0,0.0,0.0,0.0,0.17,2.5785380996722123,0.0,0.0,0.0,0.0,13.9213,100.00000000000001,41.354626958701694,9.75842496235324,11.307080106853613,2.070473793882279,19.650181337497596,8.798569560759825,2.319624315389138,0.6398978286007183,2.0476705326299895,0.15997406357325616,0.0,0.5199166905553912,0.0,0.0,1.3735598492032457,0.0,0.17999179991799927,4.210419222428957,1599.994408453044,0.24,39.0,True
411,OIB,Oahu,Sobolev_1994,samp.C-195,Oahu,Rejuvenated,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/OAHU/KOOLAU/REJUVENATEDSTAGE/HONOLULUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,38.90773176576637,2.419232281151691,11.326457346895872,10.87784775630105,12.815989033562976,12.776009497469287,0.1999368760920705,1.179631488505578,3.788805761725917,0.9297064738281278,2.2536503691636587,0.54,0.0,41.0,0.0,0.0,0.0,71.0,320.0,0.0,0.0,0.0,29.0,220.0,30.0,142.0,50.0,0.0,0.35,715.0,58.0,109.0,0.0,0.0,10.1,3.19,0.0,1.44,6.9,0.0,0.0,0.0,2.2,0.33,3.2,3.15,0.0,0.0,12.0,1.72,0.0,0.0,0.0,0.0,0.0,0.17,2.4762540954013565,0.0,0.039901144846447315,0.008846109289612724,0.0,13.3748,100.00000000000001,39.18835427407696,9.494241504899248,10.898928495362702,2.075684716693835,18.530502604942654,10.742820220140075,3.1759124512871626,0.988809289228033,2.0278869932792616,0.16759423791707173,0.0,0.7793132063143847,0.03344656620262284,0.007415125082983977,1.8890903145729956,0.0,0.15002124946876338,,,,,False
831,OIB,Kauai,Reiners_1998,samp.95HTZ155,Koloa,Rejuvenated,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/KAUAI/KAUAI/REJUVENATEDSTAGE/KOLOASERIES/PACIFICOCEAN,3.5,0.5,Stratigraphic,22.0,-159.5,42.794069200409226,3.1732391528909414,11.419654090432932,11.210516426086482,11.728112157467526,12.812357737579097,0.18900226450570906,0.6167428198375448,1.0842765290815053,0.596847790329979,1.7305116540039498,5.27,0.0,21.8,0.0,316.0,290.0,59.0,314.0,63.5,114.0,0.0,0.0,776.0,21.7,191.0,0.0,0.0,0.0,618.0,37.5,79.5,9.9,40.0,10.2,3.17,8.8,1.1,6.4,0.0,2.4,0.3,1.6,0.21,0.0,0.0,0.0,0.0,4.4,0.0,0.703252,0.512999,0.0,0.0,0.0,0.17,2.5519834284847986,0.043727180643997145,0.04122041724236718,0.00773915100395811,0.0,13.0925,100.0,42.38399263418016,9.270970082265324,11.20040287921587,2.0718107421257694,19.476161060948005,9.521389708680006,0.8802626754201481,0.5006985488252271,2.5761730624547843,0.1534402290854675,0.03549962024435889,0.4845469016833971,0.03346452107972679,0.006282978175314353,1.404904355616419,0.0,0.1725279271824577,3.260893931177654,1524.286747390779,0.24,39.0,True
832,OIB,Kauai,Reiners_1998,samp.95HTZ205,Koloa,Rejuvenated,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/KAUAI/KAUAI/REJUVENATEDSTAGE/KOLOASERIES/PACIFICOCEAN,3.5,0.5,Stratigraphic,22.0,-159.5,41.48504089502947,3.7081060375126165,11.810275294876499,11.782627642359632,12.1582284291809,12.8739481070817,0.2087665828796217,0.17894369350305048,0.45729878416234476,0.6660664265825703,1.8913435503088156,8.26,0.0,25.1,0.0,349.0,333.0,56.0,282.0,61.4,89.1,0.0,0.0,439.0,22.0,154.0,0.0,0.0,0.0,521.0,40.5,84.6,10.8,43.1,10.4,3.16,9.1,1.1,6.3,0.0,2.5,0.3,1.7,0.22,0.0,0.0,0.0,0.0,5.0,0.0,0.70306,0.513062,0.0,0.0,0.0,0.17,2.682219921406922,0.05156919740136155,0.038021084798862056,0.0075443529156548755,0.0,13.3982,100.00000000000001,41.28616119393662,9.212230879549205,11.684434317536946,2.0921806282065414,20.619245801138884,9.483640692482656,0.3567014210471639,0.13957935592784398,2.8923905743531444,0.1628417554547557,0.04022491778328708,0.5195440029629816,0.02965714199820427,0.005884733349608167,1.475282584272166,0.0,0.19903884661593926,3.564771331258232,1558.7975747480468,0.24,39.0,True
833,OIB,Kauai,Reiners_1998,samp.95HTZ265,Koloa,Rejuvenated,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/KAUAI/KAUAI/REJUVENATEDSTAGE/KOLOASERIES/PACIFICOCEAN,3.5,0.5,Stratigraphic,22.0,-159.5,46.602800481374466,2.002146634062801,10.40312270536538,11.548882968673164,7.97842215916832,15.755606996652041,0.18109944206960285,0.19116029762193731,1.6701363797719724,0.24146558591550527,0.6396666898983249,2.1,0.0,20.8,0.0,206.0,437.0,67.0,648.0,68.2,100.0,0.0,0.0,291.0,16.6,91.7,0.0,0.0,0.0,114.0,12.0,30.0,4.3,19.2,5.8,1.78,5.2,0.8,4.7,0.0,2.1,0.3,1.7,0.22,0.0,0.0,0.0,0.0,1.0,0.0,0.703709,0.512912,0.0,0.0,0.0,0.17,2.629009836244709,0.06454461239154916,0.08332643904523865,0.008608771744989455,0.0,13.7693,99.99999999999999,45.7922762351932,8.97230857232999,11.425250995987586,2.2674237494394474,20.2784758218592,6.881094029147013,1.4404308573097708,0.16486868660675072,1.7267774221867502,0.15619157079510823,0.055667340995577866,0.20825513721134925,0.07186597183571973,0.00742474723334411,0.5516888618692017,0.0,0.12891986062717778,2.60784764243172,1524.1041179932,0.24,39.0,True
835,OIB,Kauai,Reiners_1998,samp.95HTZ315,Koloa,Rejuvenated,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/KAUAI/KAUAI/REJUVENATEDSTAGE/KOLOASERIES/PACIFICOCEAN,3.5,0.5,Stratigraphic,22.0,-159.5,48.52594878509544,2.018568128362625,10.394112796843274,9.862785717157783,8.375544668480646,15.525932931137982,0.21089476467925916,0.35149162914527826,1.456180670498549,0.25106544938948444,0.6308796829798871,7.38,0.0,19.9,0.0,207.0,426.0,58.0,571.0,59.5,85.7,0.0,0.0,254.0,15.8,101.0,0.0,0.0,0.0,129.0,10.9,28.1,3.8,16.8,4.8,1.51,4.6,0.7,4.1,0.0,1.9,0.2,1.5,0.19,0.0,0.0,0.0,0.0,0.8,0.0,0.703792,0.512939,0.0,0.0,0.0,0.17,2.2451834288663353,0.06625152809331764,0.07731284688299715,0.007846972387161241,0.0,11.1677,100.00000000000001,48.25742892504465,10.031683563515289,9.86877709216523,2.166896794431134,16.698023133280696,8.083500287951734,1.4054055390071827,0.33923557187880166,1.948183275563553,0.203541137739709,0.06394142322886395,0.24231112277057254,0.07461704817753013,0.007573358636588088,0.6088817266084641,0.0,0.034282955094157436,1.6927803886168749,1431.2338462130965,0.24,39.0,True
836,OIB,Kauai,Reiners_1998,samp.95HTZ335,Koloa,Rejuvenated,VOLCANICROCK,NOTGIVEN,HAWAIIANISLANDS/KAUAI/KAUAI/REJUVENATEDSTAGE/KOLOASERIES/PACIFICOCEAN,3.5,0.5,Stratigraphic,22.0,-159.5,49.688679219036636,2.456363001662767,11.860724506457592,9.419602860625375,9.023379834071608,11.760452428625024,0.1804678055815943,0.4210905018562427,1.8748580652906326,0.280727349404432,0.7713638487432352,5.54,0.0,21.2,0.0,230.0,362.0,49.0,423.0,65.3,82.9,0.0,0.0,313.0,17.8,111.0,0.0,0.0,0.0,121.0,14.1,35.0,4.8,21.2,6.3,2.01,5.6,0.8,5.1,0.0,2.3,0.3,1.9,0.23,0.0,0.0,0.0,0.0,1.2,0.0,0.70377,0.512921,0.0,0.0,0.0,0.17,2.144296434666186,0.05526445433703002,0.05622208401535536,0.006507605626293047,0.0,10.8654,100.00000000000003,48.643209413234565,10.483088552159055,9.576097251047132,1.8952340891524695,16.03305577615657,7.975304526197992,1.6570912772209214,0.3721803855260858,2.1710537875370215,0.15950627516014285,0.0488454283114333,0.24812056474436192,0.04969182826892282,0.0057517402082660155,0.6817691050750696,0.0,0.10992434356920346,1.6087047252495723,1411.0724445040923,0.24,39.0,True
837,OIB,Kauai,Reiners_1998,samp.95HTZ385,Koloa,Rejuvenated,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/KAUAI/KAUAI/REJUVENATEDSTAGE/KOLOASERIES/PACIFICOCEAN,3.5,0.5,Stratigraphic,22.0,-159.5,44.40715868710575,2.4165830793081704,12.222711347973576,11.052415951778253,10.39529366696308,12.871756533372636,0.17974569379517596,0.8587849814658408,1.1483804782906353,0.43937836261043023,1.3923614214175157,6.0,0.0,21.9,0.0,277.0,334.0,58.0,308.0,68.2,97.3,0.0,0.0,626.0,19.7,141.0,0.0,0.0,0.0,470.0,28.8,63.3,8.0,31.5,8.1,2.54,6.5,0.9,5.5,0.0,2.2,0.3,1.6,0.19,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.5159931337351895,0.05089098039753845,0.04085773843775349,0.007687943348478061,0.0,12.7736,100.00000000000001,43.729657651136655,10.032653924049551,11.060222713437854,2.0651791298528104,19.215822172386645,8.532671747729337,0.9426144153960236,0.7049084502553138,1.9835813039495875,0.14753897796041449,0.0417723678199062,0.3606508350143462,0.03353687559129654,0.006310422688315118,1.1428790127319512,0.0,0.1649269311064719,2.89417397339338,1494.4113116862463,0.24,39.0,True
838,OIB,Kauai,Reiners_1998,samp.95HTZ395,Koloa,Rejuvenated,VOLCANICROCK,NEPHELINITE,HAWAIIANISLANDS/KAUAI/KAUAI/REJUVENATEDSTAGE/KOLOASERIES/PACIFICOCEAN,3.5,0.5,Stratigraphic,22.0,-159.5,44.95781336199681,2.800516828780485,13.603947165840125,10.807416706840261,11.162256221825881,9.886544245712269,0.18935940316591665,0.8770318623529682,1.116225622182588,0.5182459570144534,1.5561571407277257,7.1,0.0,21.2,0.0,295.0,209.0,48.0,192.0,85.8,91.9,0.0,0.0,558.0,20.8,159.0,0.0,0.0,0.0,506.0,32.2,70.1,8.7,35.4,8.9,2.66,7.6,1.0,5.9,0.0,2.4,0.3,1.5,0.23,0.0,0.0,0.0,0.0,3.6,0.0,0.703295,0.512982,0.0,0.0,0.0,0.17,2.460221036419659,0.03213866236246916,0.025704667849084786,0.006421116929294952,0.0,12.3763,99.99999999999999,43.85218439008158,10.241324528748745,11.064837649619829,1.8521037857083096,19.22494411592209,8.403170568599036,0.840317056859905,0.6602471925915442,2.108285289712245,0.14255356013598341,0.02419463021735451,0.39014596034482807,0.019350989983789358,0.004833945729742272,1.171506335745038,0.0,0.22118380062305307,2.8170559493553635,1486.062974101073,0.24,39.0,True
