Unnamed: 0,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,T,P_err,T_err,Fit_Tp
2.0,OIB,Hawaii,Rhodes_1996,samp.R160-5.75,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.063539190820904,3.227954506309548,11.919330845975875,10.856757910254466,10.475835537071319,11.227680761750413,0.19046910700479078,0.4210372860269014,2.3858759740491364,0.32079059603525406,0.6130399830409466,0.0,0.0,0.0,0.0,300.0,881.0,0.0,324.0,0.0,125.0,21.0,3.1,427.0,28.0,204.0,21.3,0.0,0.0,203.0,17.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.1293835205954434,0.12748594149650233,0.040818839568467685,0.0,0.0,12.901,99.99999999999996,44.859805898576674,9.315904748326084,10.994696802103963,1.6642825261637666,19.250609481714324,8.187698393776358,1.8647517719558464,0.3290741152171788,2.5229030976065396,0.14886675110242617,0.0996403995391279,0.25072335649044547,0.03190316858143355,0.0,0.4791394888458035,0.0,0.19775371038908957,2.8816709725856704,1528.4529000130324,0.24,39.0,True
5.0,OIB,Hawaii,Rhodes_1996,samp.R171-4.55,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.78362930834477,2.242159465768162,11.170574017463956,9.773986920378535,10.788477357972855,14.247285358958091,0.1809810945503908,0.1608724146926453,1.8902476488220108,0.23125378613831502,0.42851961812085887,0.0,0.0,0.0,0.0,231.0,879.0,0.0,456.0,0.0,105.0,18.0,1.1,325.0,23.1,148.0,12.8,0.0,0.0,143.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.917014899918833,0.12743959183105283,0.05755851703953926,0.0,0.0,11.5922,100.00000000000001,46.3776534727919,10.415556388593702,9.808864894558715,1.787444114927585,16.59167608276034,10.05928559207053,1.7624860588124083,0.14999906933886295,2.0906122023288187,0.16874860616938617,0.11882596657795076,0.21562337314392005,0.053668144441986115,0.0,0.39955603348392116,0.0,0.06542056074766359,2.0965302123296357,1446.506347648909,0.24,39.0,True
7.0,OIB,Hawaii,Rhodes_1996,samp.R180-5.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.314548394381404,2.8630375658825726,12.747988618557955,9.627194942197125,10.537998668647418,8.87038324403541,0.1707770006582646,0.5826521104352758,2.4712526425841013,0.3114182256182115,0.5285168298901807,0.0,0.0,0.0,0.0,238.0,413.0,0.0,207.0,0.0,110.0,20.0,10.1,387.0,29.0,199.0,17.0,0.0,0.0,157.0,13.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.888223945761159,0.059878814190760604,0.026128997160153475,0.0,0.0,11.4179,100.0,47.42298144947398,10.013496756344734,10.090743378196384,1.4831927547069526,17.202822564798446,8.27755802458526,1.9411595869014455,0.4576710250139079,2.248905159636191,0.13414468692420772,0.047034581659422474,0.24461783622515923,0.020524228263653337,0.0,0.41514796727027614,0.0,0.19452275473217892,2.072102633501421,1454.197433095726,0.24,39.0,True
13.0,OIB,Hawaii,Rhodes_1996,samp.R208-5.20,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.854361154249446,2.710233335422115,12.30644621682341,9.489082863287466,10.650156165781103,10.04796800011697,0.17064377042125922,0.5320082151442079,2.3789753252136543,0.3111741675343527,0.5852376839639583,0.0,0.0,0.0,0.0,224.0,486.0,0.0,255.0,0.0,110.0,20.0,9.2,415.0,25.0,180.0,17.0,0.0,0.0,157.0,15.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.8611354182968387,0.07041265783477585,0.0321650259104429,0.0,0.0,11.2621,100.0,47.44054253263072,10.202880344521988,9.802854019185347,1.5430077573390648,16.550935673655847,8.82970331933774,1.9723322361368472,0.4410709692940219,2.246967641173684,0.141475283804197,0.05837687907382118,0.2579845344238418,0.026666992636271314,0.0,0.48520181678661023,0.0,0.15789473684210534,1.9874963289520864,1438.1264962264427,0.24,39.0,True
18.0,OIB,Hawaii,Rhodes_1996,samp.R224-1.75,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.50529000127122,2.735818919008341,12.927482910064795,9.519389646140851,10.592497103984355,8.908944463591109,0.17036200871229326,0.4710017228793478,2.395098869442722,0.29061789437911506,0.5285188145119415,0.0,0.0,0.0,0.0,243.0,433.0,0.0,199.0,0.0,106.0,21.0,7.1,361.0,27.9,185.0,15.3,0.0,0.0,134.0,14.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.8670796204706117,0.06277875037403398,0.025119275169261008,0.0,0.0,11.29,99.99999999999999,47.64251727549214,10.251391823024708,9.977441910339845,1.4805793894592445,16.951658052465213,8.399766524746772,1.8992944826424658,0.3735006454192799,2.1694827903244045,0.1350957270813769,0.04978305310641926,0.2304576944165373,0.01991938677172689,0.0,0.4191112447098403,0.0,0.18831168831168843,1.9909725478346136,1463.3904464895818,0.24,39.0,True
19.0,OIB,Hawaii,Rhodes_1996,samp.R229-0.05,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.53249220546916,2.283646106786524,11.16562359788663,9.729962598139519,9.528661172994187,13.560377054068,0.17177867188108129,0.3536616212040022,1.980507857914989,0.23240632165538824,0.3716150760535104,0.0,0.0,0.0,0.0,221.0,849.0,0.0,457.0,0.0,112.0,18.0,5.6,310.0,23.6,152.0,12.7,0.0,0.0,120.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.908380216613184,0.12316681444729685,0.057720684886508555,0.0,0.0,11.5328,99.99999999999999,47.86634323086892,10.209943559515049,9.790487578188745,1.7450395072787186,16.577720993804625,8.713090847198812,1.8109936512919353,0.3233912696414818,2.088185908811201,0.1570759151299217,0.11262480889559805,0.21251436663377524,0.05278029746760849,0.0,0.33980806527361074,0.0,0.08214777420835251,1.875987365510563,1454.1634753056173,0.24,39.0,True
20.0,OIB,Hawaii,Rhodes_1996,samp.R233-3.80,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.346800020955406,2.2547785794005306,11.082582862368803,9.661901146031425,9.210354875180595,14.233268070886046,0.1711209948699752,0.412704626776324,1.9427273478109952,0.23151739911124367,0.343018147701474,0.0,0.0,0.0,0.0,217.0,982.0,0.0,568.0,0.0,110.0,17.0,5.9,300.0,23.0,147.0,12.6,0.0,0.0,110.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.8950310256572103,0.14245686598270424,0.071738037267266,0.0,0.0,11.4525,100.0,47.881662430712495,10.400882249016819,9.69798858313047,1.7784657963641284,16.369742100844594,8.643816853712718,1.8232282706531493,0.38731875773293234,2.1160849229091876,0.16059517353311287,0.13369420351289668,0.21727653532201824,0.06732535977023449,0.0,0.32191876278525994,0.0,0.05970850963798781,1.8604786146582384,1448.8431819658135,0.24,39.0,True
21.0,OIB,Hawaii,Rhodes_1996,samp.R234-7.40,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.93237826114583,2.3785532733619674,11.491373845078472,9.878893973393103,9.915665139527489,13.066983343382363,0.18064945244594535,0.28101047982090854,2.097548745975885,0.24086626728541746,0.4285753074343791,0.0,0.0,0.0,0.0,221.0,807.0,0.0,419.0,0.0,111.0,18.0,4.1,314.0,24.6,158.0,12.7,0.0,0.0,89.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.9375907800968792,0.11701605906534569,0.052895071986017055,0.0,0.0,11.7151,100.0,47.148517187837115,10.243315985455176,9.959519986607763,1.7271524604986332,16.93307973771826,8.838742225207694,1.8697376736314397,0.25049042689205875,2.120222794572128,0.16102943381271906,0.10430715113253172,0.21470620652536818,0.04715023144584413,0.0,0.3820284986632916,0.0,0.10313901345291487,2.0336367764654684,1448.3914556118584,0.24,39.0,True
23.0,OIB,Hawaii,Rhodes_1996,samp.R246-5.20,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.034574892022334,2.1517095146616887,10.314062326464473,9.665554481052403,8.849275535324546,15.769054408126943,0.17173266563260273,0.42428046982735224,1.9294668912397035,0.22224163104590383,0.3572553892918717,0.0,0.0,0.0,0.0,213.0,955.0,0.0,606.0,0.0,110.0,17.0,6.9,301.0,22.1,148.0,13.2,0.0,0.0,118.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.8957475702696247,0.1385186320901374,0.07652559295044097,0.0,0.0,11.4586,100.00000000000003,47.92055418966964,10.150391104181141,9.6693569826019,1.865664435986972,16.300283359230054,8.708848640727238,1.8988486736597956,0.41754767135381476,2.1175645856205194,0.16900748379828884,0.13632051527586964,0.2187149353324027,0.07531122784989103,0.0,0.3515861947124793,0.0,0.015748031496063002,1.8655173653055273,1449.4275733026188,0.24,39.0,True
24.0,OIB,Hawaii,Rhodes_1996,samp.R250-0.00,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.70264004806327,2.285459478423993,10.893693504104087,9.83336037939032,9.31298994715829,14.73972859210849,0.1812259272767821,0.2819063366439874,2.0035491737272975,0.23156563595379617,0.4142647027987203,0.0,0.0,0.0,0.0,213.0,846.0,0.0,541.0,0.0,108.0,18.0,3.9,317.0,23.1,147.0,13.5,0.0,0.0,125.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.9286600767041633,0.12266377849870108,0.06829241914809675,0.0,0.0,11.6618,99.99999999999999,47.30691696617324,10.269710034074448,9.854380534018585,1.8181877188471962,16.70245919831116,8.77954811850854,1.8887872185349295,0.2657589304317429,2.1545498897319795,0.1708454275024031,0.11563767939597426,0.21830171137140952,0.06438067510456416,0.0,0.39053589799383337,0.0,0.05571293673276681,1.9968357619563744,1463.2785677113357,0.24,39.0,True
