Unnamed: 0,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,P_err,T,T_err,Fit_Tp
0,1,2,3,4,5,6,7,8,9,10.0,11.0,12,13.0,14.0,6.817785177724238,7.2723041895725204,7.726823201420803,8.181342213269085,8.635861225117369,9.09038023696565,9.544899248813934,9.999418260662216,10.453937272510498,10.908456284358781,11.362975296207063,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,0.0,0.0,0.0020594074619240945,0.0019086389605039002,0.001849346955408292,0.0,18.0,99.99999999999999,9.7156056683295,7.065474497616931,8.408787684824148,0.0,12.462390636212445,7.896706791454212,9.559171379128783,9.143555232210144,6.649858350698276,8.727939085291506,0.001883140137042494,9.974787526047422,0.001745276104948109,0.0016910589785825753,10.390403672966068,0.0,0.08214777420835251,,,,,False
1,OIB,Hawaii,Rhodes_1996,samp.R159-4.10,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.805280300923314,3.6151545988804887,13.218817407994916,10.975616052917914,11.36620148937703,8.632301384362869,0.2002850222649837,0.330470930075372,2.533614092998179,0.3605138318777693,0.698368304400459,0.0,0.0,0.0,0.0,327.0,611.0,0.0,177.0,0.0,131.0,23.0,1.3,448.0,30.3,227.0,24.5,0.0,0.0,190.0,15.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.152695689142287,0.08838848561194096,0.022292409172459806,0.0,0.0,13.0462,100.0,44.1899885706103,9.274140828210363,11.383375043079958,1.5103017437333066,20.161010720025967,7.974370932042878,1.7775488667081722,0.23185386790311563,2.5363428384669335,0.1405172221490311,0.06201214812617073,0.25293155538482703,0.015640048249735215,0.0,0.4899656153092097,0.0,0.26172019195275026,3.176089062315766,0.24,1559.2562568069302,39.0,True
2,OIB,Hawaii,Rhodes_1996,samp.R160-5.75,Mauna_Kea,Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.063539190820904,3.227954506309548,11.919330845975875,10.856757910254466,10.475835537071319,11.227680761750413,0.19046910700479078,0.4210372860269014,2.3858759740491364,0.32079059603525406,0.6130399830409466,0.0,0.0,0.0,0.0,300.0,881.0,0.0,324.0,0.0,125.0,21.0,3.1,427.0,28.0,204.0,21.3,0.0,0.0,203.0,17.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.1293835205954434,0.12748594149650233,0.040818839568467685,0.0,0.0,12.901,99.99999999999996,44.859805898576674,9.315904748326084,10.994696802103963,1.6642825261637666,19.250609481714324,8.187698393776358,1.8647517719558464,0.3290741152171788,2.5229030976065396,0.14886675110242617,0.0996403995391279,0.25072335649044547,0.03190316858143355,0.0,0.4791394888458035,0.0,0.19775371038908957,2.8816709725856704,0.24,1528.4529000130324,39.0,True
5,OIB,Hawaii,Rhodes_1996,samp.R171-4.55,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.78362930834477,2.242159465768162,11.170574017463956,9.773986920378535,10.788477357972855,14.247285358958091,0.1809810945503908,0.1608724146926453,1.8902476488220108,0.23125378613831502,0.42851961812085887,0.0,0.0,0.0,0.0,231.0,879.0,0.0,456.0,0.0,105.0,18.0,1.1,325.0,23.1,148.0,12.8,0.0,0.0,143.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.917014899918833,0.12743959183105283,0.05755851703953926,0.0,0.0,11.5922,100.00000000000001,46.3776534727919,10.415556388593702,9.808864894558715,1.787444114927585,16.59167608276034,10.05928559207053,1.7624860588124083,0.14999906933886295,2.0906122023288187,0.16874860616938617,0.11882596657795076,0.21562337314392005,0.053668144441986115,0.0,0.39955603348392116,0.0,0.06542056074766359,2.0965302123296357,0.24,1446.506347648909,39.0,True
7,OIB,Hawaii,Rhodes_1996,samp.R180-5.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.314548394381404,2.8630375658825726,12.747988618557955,9.627194942197125,10.537998668647418,8.87038324403541,0.1707770006582646,0.5826521104352758,2.4712526425841013,0.3114182256182115,0.5285168298901807,0.0,0.0,0.0,0.0,238.0,413.0,0.0,207.0,0.0,110.0,20.0,10.1,387.0,29.0,199.0,17.0,0.0,0.0,157.0,13.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.888223945761159,0.059878814190760604,0.026128997160153475,0.0,0.0,11.4179,100.0,47.42298144947398,10.013496756344734,10.090743378196384,1.4831927547069526,17.202822564798446,8.27755802458526,1.9411595869014455,0.4576710250139079,2.248905159636191,0.13414468692420772,0.047034581659422474,0.24461783622515923,0.020524228263653337,0.0,0.41514796727027614,0.0,0.19452275473217892,2.072102633501421,0.24,1454.197433095726,39.0,True
9,OIB,Hawaii,Rhodes_1996,samp.R189-8.50,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,44.15995543068262,1.167135020083331,6.026850432900622,10.134830259580088,5.896053040381389,28.423824723866982,0.17104571785806175,0.08049218998598343,1.1570736821972363,0.12073803716277104,0.2569358404015554,0.0,0.0,0.0,0.0,143.0,1730.0,0.0,1321.0,0.0,103.0,9.0,0.2,172.0,13.2,78.0,6.9,0.0,0.0,66.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.9877886858284066,0.2506480494183952,0.1666288896525477,0.0,0.0,12.0284,100.0,,,,,,,,,,,,,,,,,,,0.24,,39.0,False
10,OIB,Hawaii,Rhodes_1996,samp.R193-3.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.42331696373071,1.8455735910302622,8.905141994639608,10.42846565140439,7.311693721478223,21.481279393583,0.18153161727547656,0.08068079592298319,1.482514323364694,0.1916164316459624,0.32845810989329427,0.0,0.0,0.0,0.0,189.0,1221.0,0.0,930.0,0.0,117.0,15.0,0.8,236.0,19.3,123.0,9.9,0.0,0.0,74.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.0453806824062872,0.17698394020104694,0.11736278342405548,0.0,0.0,12.3712,100.00000000000001,,,,,,,,,,,,,,,,,,,0.24,,39.0,False
11,OIB,Hawaii,Rhodes_1996,samp.R197-0.80,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.80628890895898,1.5459472481737062,7.2980807339229115,10.12708673060735,6.6857306093471545,23.861866432139973,0.1806956095312063,0.26100487953408336,1.475680976488363,0.16061854000575412,0.24281738154393018,0.0,0.0,0.0,0.0,165.0,1641.0,0.0,1030.0,0.0,102.0,12.0,4.3,205.0,16.3,102.0,8.5,0.0,0.0,79.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.9862699135464692,0.23790604291781958,0.1300059932823083,0.0,0.0,12.0115,100.00000000000001,,,,,,,,,,,,,,,,,,,0.24,,39.0,False
13,OIB,Hawaii,Rhodes_1996,samp.R208-5.20,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,48.854361154249446,2.710233335422115,12.30644621682341,9.489082863287466,10.650156165781103,10.04796800011697,0.17064377042125922,0.5320082151442079,2.3789753252136543,0.3111741675343527,0.5852376839639583,0.0,0.0,0.0,0.0,224.0,486.0,0.0,255.0,0.0,110.0,20.0,9.2,415.0,25.0,180.0,17.0,0.0,0.0,157.0,15.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.8611354182968387,0.07041265783477585,0.0321650259104429,0.0,0.0,11.2621,100.0,47.44054253263072,10.202880344521988,9.802854019185347,1.5430077573390648,16.550935673655847,8.82970331933774,1.9723322361368472,0.4410709692940219,2.246967641173684,0.141475283804197,0.05837687907382118,0.2579845344238418,0.026666992636271314,0.0,0.48520181678661023,0.0,0.15789473684210534,1.9874963289520864,0.24,1438.1264962264427,39.0,True
14,OIB,Hawaii,Rhodes_1996,samp.R212-0.40,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.28042181707478,1.7163204458188954,8.571485339236897,10.30843630554968,7.259007332085853,22.453445186950894,0.18172711369663894,0.08076779343720727,1.352856299906149,0.16153598361519328,0.32850136478728753,0.0,0.0,0.0,0.0,189.0,1120.0,0.0,961.0,0.0,112.0,14.0,0.8,222.0,17.9,119.0,9.5,0.0,0.0,68.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.021838800643458,0.16236537021312542,0.12129084698394997,0.0,0.0,12.2272,100.00000000000001,,,,,,,,,,,,,,,,,,,0.24,,39.0,False
