Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,T,P_err,T_err,Fit_Tp
OIB,Hawaii,Rhodes_1996,samp.R055-0.75,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,50.34271867,1.825902485,11.97875073,9.246075563,9.259937581,12.19947023,0.170551004,0.341103001,2.13690638,0.200648123,0.343297282,0,0,0,0,231,611,0,415,0,100,17,5.1,266,20.8,114,7.9,0,0,60,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.15,1.813473331,0.088708733,0.052456888,0,0,10.9507,100,49.43179629,10.84451232,9.372567176,1.641760006,15.65520078,8.383136887,1.934567976,0.308804797,1.653012274,0.154401949,0.080309121,0.181649246,0.047489874,0,0.310791308,0,0.09049568,1.531294007,1413.991605,0.24,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R068-1.25,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,44.93842653,0.777412047,5.59332182,9.606066713,5.058221065,30.05651015,0.171636297,0.131251578,1.060105083,0.090866263,0.157099623,0,0,0,0,133,2165,0,1277,0,99,10,2.2,129,9.8,54,3.9,0,0,38,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.15,1.884079974,0.313838631,0.161164229,0,0,11.3948,100,,,,,,,,,,,,,,,,,,,,0.24,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R075-1.70,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,50.16857971,1.824675869,11.96066376,9.124859246,9.724913639,11.93056917,0.170436702,0.330847833,2.26580499,0.210538989,0.328954754,0,0,0,0,215,880,0,330,0,105,18,4.9,285,21.9,119,7.9,0,0,70,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.789698644,0.127748864,0.041707828,0,0,10.8084,100,49.26951833,10.82272659,9.265375788,1.619426771,15.42686096,8.799685663,2.050236375,0.299370981,1.651076265,0.15422136,0.115594841,0.190508316,0.037739746,0,0.297658009,0,0.090909091,1.5601776,1415.397616,0.24,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R083-3.70,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,48.69754545,1.478116723,9.924520697,9.228624428,8.476562326,17.49611401,0.170939364,0.261436266,1.769720278,0.170939364,0.257393637,0,0,0,0,185,1272,0,581,0,97,15,3.7,231,18.1,96,7,0,0,69,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,1.810050564,0.184619876,0.073417017,0,0,10.9334,100,,,,,,,,,,,,,,,,,,,,0.24,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R091-2.30,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,47.53347506,1.453560926,9.367401468,9.735361958,7.510068098,19.91579759,0.181695613,0.19178893,1.604975593,0.141318368,0.171682771,0,0,0,0,196,1271,0,782,0,105,15,2.3,203,16,91,6.5,0,0,58,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,1.909439217,0.184568279,0.098866127,0,0,11.5279,100,,,,,,,,,,,,,,,,,,,,0.24,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R096-1.80,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,47.83000207,1.611798398,9.62039036,9.800393289,7.656020057,18.72701409,0.181326948,0.221621163,1.712528974,0.16117984,0.300137218,0,0,0,0,205,1145,0,707,0,102,15,3.3,217,19.1,104,7.4,0,0,85,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,1.922194097,0.166100939,0.089292559,0,0,11.6168,100,,,,,,,,,,,,,,,,,,,,0.24,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R103-2.65,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,47.7817969,1.577648682,9.676942728,9.814475044,7.687287705,18.76099417,0.170828726,0.211023837,1.698241956,0.15073117,0.285874253,0,0,0,0,199,1131,0,753,0,109,16,2.9,213,16.9,96,6.8,0,0,66,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.924956013,0.164086818,0.095112002,0,0,11.6323,100,,,,,,,,,,,,,,,,,,,,0.24,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R108-4.45,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,50.1375056,2.00911348,13.11951818,9.788356435,10.17614547,9.583495945,0.180820809,0.180820809,2.270299425,0.200911348,0.357748127,0,0,0,0,210,387,0,152,0,96,21,2.4,281,23.8,118,7.9,0,0,74,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.15,1.919833256,0.056210101,0.019221012,0,0,11.5882,100,48.17922213,10.44536187,10.15916694,1.528512924,17.38588791,8.101937922,1.807543442,0.143964036,1.599595126,0.143964036,0.044752775,0.159959513,0.015303186,0,0.284828192,0,0.185667752,1.890428658,1465.940789,0.24,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R110-3.10,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,50.44866989,1.859540601,12.43372882,9.617301603,9.689691317,10.80545744,0.180927549,0.281442854,2.241495777,0.180927549,0.272058045,0,0,0,0,199,524,0,208,0,97,18,4.3,262,21.1,107,7.2,0,0,73,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.886283522,0.076156206,0.026318832,0,0,11.3786,100,48.89110265,10.46415865,9.860102288,1.587485969,16.73434782,8.154791594,1.886430674,0.236860778,1.564979272,0.152267643,0.06409265,0.152267643,0.022149786,0,0.228962573,0,0.147121535,1.725818391,1447.263654,0.24,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R111-0.90,Mauna_Loa,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNALOA/PACIFICOCEAN,0.055,0.045,Stratigraphic,19.74,-155.05,49.98478993,2.106637627,13.63774915,9.798426614,10.36186463,9.101898332,0.181432839,0.151194364,2.207432544,0.201592817,0.257805826,0,0,0,0,269,473,0,147,0,113,20,0.9,277,24.5,127,8.5,0,0,63,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.15,1.921808364,0.068761827,0.018605136,0,0,11.5899,100,47.90155164,10.64301278,10.23336969,1.499795219,17.58276372,8.086485273,1.722698703,0.117993338,1.644037513,0.141591695,0.053662301,0.15732471,0.014519603,0,0.201193809,0,0.198717949,1.948405447,1473.868291,0.24,39,TRUE
