,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe
248,OIB,Lanai,West_1992,samp.LWAW-4,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.88,-156.88,48.8567,1.69381,11.7451,11.4352,8.15461,14.6864,0.172423,0.0405702,1.18668,0.121711,0.156672,1.88,,33.3,,256.0,669.0,,715.0,86.5,94.1,12.3,0.11,243.0,18.3,89.0,6.7,,0.004,32.8,4.52,10.88,1.91,8.3,2.34,0.99,2.86,0.404,2.5,0.444,1.3,0.172,1.05,0.152,2.05,,,0.6,0.337,0.06,,,,,,0.15
249,OIB,Lanai,West_1992,samp.LWAW-4B,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.88,-156.88,49.6153,1.71296,11.8396,11.1881,8.62525,14.9027,0.171296,0.120915,1.19907,0.130991,0.178848,0.49,,31.9,,264.0,662.0,,682.0,103.0,101.0,12.5,1.54,259.0,16.0,92.7,6.73,,0.019,34.6,4.67,12.42,2.0,9.0,2.55,1.06,2.98,0.437,2.59,0.459,1.25,0.18,1.09,0.144,2.12,,,0.61,0.352,0.073,,,,,,0.15
250,OIB,Lanai,West_1992,samp.LWAW-5,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.88,-156.88,51.0646,2.07497,13.9479,11.3025,10.1825,8.0266,0.182193,0.161949,1.64986,0.202436,0.341568,1.19,,37.2,,308.0,398.0,,159.0,116.0,103.0,15.9,0.38,338.0,32.9,122.0,7.58,,0.007,83.1,10.07,23.72,4.1,17.1,4.6,1.7,5.15,0.72,4.33,0.789,2.15,0.274,1.74,0.239,2.81,,,0.91,0.441,0.13,,,,,,0.15
251,OIB,Lanai,West_1992,samp.LWAW-6,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.88,-156.88,49.0168,2.01038,13.022,11.7353,8.91031,11.941,0.171741,0.0606144,1.49515,0.151536,0.21038400000000002,1.47,,31.8,,263.0,685.0,,439.0,96.2,99.8,13.8,0.1,293.0,22.7,110.0,7.65,,0.004,52.6,7.68,14.61,3.44,14.6,4.1,1.78,4.28,0.675,4.11,0.737,1.98,0.279,1.71,0.23,2.6,,,0.75,0.423,0.079,,,,,,0.15
252,OIB,Lanai,West_1992,samp.LWAW-7,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.88,-156.88,49.7196,1.97909,12.9247,11.6478,8.99678,11.8039,0.171656,0.100974,1.47422,0.171656,0.231408,1.0,,34.0,,267.0,716.0,,444.0,103.0,100.0,13.9,0.15,286.0,23.9,107.3,7.51,,0.001,61.5,7.27,16.07,3.3,14.5,4.06,1.66,4.45,0.652,3.91,0.72,1.96,0.261,1.72,0.221,2.48,,,0.76,0.415,0.094,,,,,,0.15
253,OIB,Lanai,West_1992,samp.LWAW-8,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.88,-156.88,50.7958,1.89439,12.3639,11.4877,8.90765,12.5755,0.171301,0.292219,1.23941,0.191454,0.405792,0.08,,32.2,,258.0,573.0,,429.0,77.8,120.0,14.7,5.07,332.0,64.2,118.4,8.01,,0.06,108.0,9.46,28.18,4.52,21.0,6.85,2.82,9.45,1.5,9.22,1.9,4.9,0.662,4.12,0.587,2.7,,,0.85,0.44,0.164,,,,,,0.15
254,OIB,Lanai,West_1992,samp.LMAN-2,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/SOUTHRIFTZONE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.75,-156.88,52.7425,2.16473,13.9595,10.6493,10.1257,7.25285,0.161849,0.18208,1.81068,0.0910399,0.10555199999999999,0.85,,35.2,,295.0,348.0,,140.0,69.5,102.0,15.6,2.71,330.0,11.8,124.0,8.18,,0.032,63.7,2.63,7.33,1.21,5.5,1.75,1.03,2.14,0.344,2.04,0.377,1.04,0.15,0.94,0.128,2.93,,,0.61,0.241,0.08,,,,,,0.15
255,OIB,Lanai,West_1992,samp.LMAN-3,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/SOUTHRIFTZONE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.75,-156.88,53.6591,1.97425,14.2247,10.4399,9.98262,7.38066,0.16199,0.242985,1.79201,0.131617,0.165744,0.01,,31.6,,284.0,324.0,,153.0,69.4,101.0,15.6,3.74,334.0,16.1,116.2,7.72,,0.038,67.4,4.23,11.51,1.86,8.4,2.49,1.22,2.87,0.434,2.7,0.487,1.34,0.192,1.19,0.166,2.65,,,0.69,0.277,0.1,,,,,,0.15
256,OIB,Lanai,West_1992,samp.LMAN-4,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/SOUTHRIFTZONE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.75,-156.88,51.4048,1.79027,12.9945,10.9594,9.58496,10.5103,0.17098,0.201153,1.58911,0.100577,0.138672,0.69,,32.3,,274.0,591.0,,347.0,108.0,95.1,13.6,2.76,266.0,14.8,88.7,6.2,,0.029,52.4,3.6,9.63,1.57,6.9,2.08,1.04,2.51,0.391,2.41,0.432,1.24,0.176,1.09,0.153,2.12,,,0.59,0.247,0.09,,,,,,0.15
257,OIB,Lanai,West_1992,samp.LMAN-5,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/SOUTHRIFTZONE/PACIFICOCEAN,0.95,0.25,Stratigraphic,20.75,-156.88,53.4379,2.04832,13.309,10.7316,9.73709,7.64841,0.171534,0.484332,1.68507,0.171534,0.265392,0.57,,34.4,,279.0,324.0,,119.0,104.0,97.4,14.9,6.74,331.0,19.5,118.0,8.57,,0.067,85.9,6.92,18.43,2.95,12.3,3.49,1.26,3.81,0.543,3.33,0.579,1.68,0.223,1.39,0.195,2.8,,,0.95,0.449,0.155,,,,,,0.15
