Unnamed: 0,Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Cr2O3,CO2,Fe2O3,src_FeIII_totFe,NiO,CoO,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,T,P_err,T_err
3,1,AARR3,JennerandO'Neill/2012,MELVULC-5-027-019,0.0,0.0,0.0,0.0,LA-ICP-MS,0.0,0.0,GL,-56.89,-6.04,49.88634242280302,1.2441485238189005,16.324432647204446,7.619205693690296,11.588641492022825,8.548504373336316,0.0,0.13043492588423958,3.040137118686507,0.14,0.19224101384169465,0.0,4.5,36.8,1.32,235.0,323.0,44.5,100.0,85.0,88.5,17.4,1.79,151.0,22.6,69.7,3.53,1.01,0.019,0.43,3.44,9.58,1.51,8.25,2.7,1.06,3.5,0.62,4.07,0.85,2.54,0.0,2.47,0.34,1.86,0.21,0.007,0.47,0.229,0.072,0.70277,0.51305,18.606,15.56,38.289,0.04736762393706668,0.0,1.3785441647747296,0.14,0.012725,0.0056581750000000005,8.83,100.00000000000004,48.84081492381585,14.579380089974778,7.965305264466807,1.2311802672363927,12.73524087957417,10.349836511322021,2.7151519159572035,0.11649166636120009,1.1111512791375993,0.0,0.04230410993522328,0.12503425121766865,0.01136472033389169,0.005053326245596667,0.1716907944215841,0.0,0.10031488978857406,1.4601155640918058,1360.43144929783,0.24,39.0
10,1,AARR3,JennerandO'Neill/2012,MELVULC-5-027-010,0.0,0.0,0.0,0.0,LA-ICP-MS,0.0,0.0,GL,-56.89,-6.04,49.32360127939997,1.1332995007263515,17.340485281025327,7.253718556595938,11.533578989692957,8.91595801898873,0.0,0.10029199121472138,2.8783801478625035,0.12,0.16488003355700195,0.0,4.3,32.2,1.14,203.0,296.0,46.0,140.0,82.0,83.7,16.7,1.13,149.0,19.8,61.7,2.51,0.92,0.012,0.41,2.72,8.22,1.33,7.2,2.45,0.96,3.06,0.53,3.55,0.76,2.19,0.0,2.17,0.31,1.61,0.15,0.009,0.45,0.153,0.052,0.0,0.0,0.0,0.0,0.0,0.04338968521039328,0.0,1.312416515726103,0.14,0.017815,0.005848900000000001,8.41,100.0,48.627701027954046,16.048691869983628,7.492938116767325,1.214646990820565,11.810283214127962,10.674375737698744,2.6639529014952528,0.09282065858868478,1.0488734420521384,0.0,0.04015733567959365,0.11106050339348736,0.016487857232958144,0.005413181485818073,0.15259716271979773,0.0,0.0706319702602231,1.3826651158256633,1334.1539967215144,0.24,39.0
13,1,AFAR10,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-064-003,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,13.337,50.692,49.90498690216152,0.9404708838819531,15.377699452410235,8.475243465280878,11.935976217778405,9.524768951655526,0.17008515985099154,0.04002003761199801,1.950976833584903,0.1,0.09004508462699552,0.0,4.7,40.4,0.84,284.0,385.0,49.1,175.0,91.0,86.9,14.1,0.64,61.0,24.5,47.6,1.18,0.22,0.0,0.0,1.06,4.5,0.8,4.43,1.84,0.72,3.09,0.57,4.01,0.9,2.67,0.0,2.66,0.41,0.79,0.08,0.014,0.2,0.083,0.019,0.702899,0.51315,18.269,15.454,38.099,0.05629978871218267,0.0,1.5334272224444052,0.14,0.02226875,0.006243065000000001,9.85,100.0,48.66213859636851,13.392144690223361,8.797421748723282,1.3354324746985544,14.477598193619102,10.394813673023071,1.6990684545176005,0.034852686246515004,0.8190381267931026,0.14812391654768858,0.049030410484734784,0.08708808968251971,0.019393428971176113,0.005436966046138011,0.07841854405465866,0.0,0.12049252418645566,1.4567391349276988,1391.353144718535,0.24,39.0
15,1,AFAR11,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-063-003,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,13.288,50.323,49.330679551879584,1.1307032027104245,15.149421671713121,9.061435454075276,11.527168933826628,9.686023895784874,0.18011201459104106,0.07004356122984931,2.0112508295999585,0.13,0.1542959591663252,0.0,0.0,38.9,1.1,285.0,406.0,47.3,169.0,83.0,105.5,14.9,1.15,70.0,29.0,66.3,2.25,0.33,0.0,0.0,2.82,7.71,1.37,7.16,2.58,0.94,3.71,0.72,4.88,1.08,3.16,0.0,3.08,0.46,1.34,0.15,0.017,0.27,0.169,0.043,0.702943,0.513149,18.351,15.491,38.26,0.05937788807425769,0.0,1.6394870373486568,0.14,0.021505249999999997,0.006014195,10.53,99.99999999999999,47.88843839863413,12.742352189024558,9.398504833669568,1.3789913365633264,15.730722144902714,9.695633898121725,1.6916861228493663,0.0589144420892815,0.9510474222983973,0.15149427965815196,0.04994342216346237,0.10934448987357777,0.018088312237336614,0.0050586083405786365,0.12978009957381692,0.0,0.14639351259069577,1.7255434474815559,1427.0145738076253,0.24,39.0
17,1,AFAR12,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-062-001,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,13.362,49.805,49.96343969726879,1.2608438617776623,15.340266984961556,8.85532672255178,11.407634939893136,8.775873545865156,0.17011385436682744,0.09006027584126158,2.291533685294323,0.15,0.19312925819292762,0.0,0.0,43.9,1.25,292.0,339.0,45.8,147.0,80.0,98.0,15.5,1.4,95.0,31.2,81.6,2.78,0.51,0.0,0.0,3.43,9.65,1.63,8.72,3.05,1.09,4.1,0.77,5.29,1.15,3.33,0.0,3.15,0.47,1.78,0.19,0.019,0.28,0.212,0.052,0.702937,0.513153,18.272,15.448,38.079,0.04958142402054479,0.0,1.6021957499660189,0.14,0.01870575,0.00582347,10.29,99.99999999999997,48.26654524184566,12.670605567201376,9.30042129161876,1.3233661714732357,15.523011198396187,9.422368132165426,1.8927388616367409,0.07438711683288489,1.041419635660388,0.1405089984621163,0.040952785752709095,0.12389555129277789,0.01545039472396586,0.004810013507246357,0.15951903943051995,0.0,0.15931063472047088,1.68162896192563,1420.2279131196697,0.24,39.0
27,1,AFAR20,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-042-001,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,11.938,43.69,49.06023054683394,1.0202127453164245,15.523237065991086,8.567386560080752,12.222548772320303,9.59200022312207,0.17003545755273744,0.06001251443037792,2.0204213191560565,0.11,0.15943324667003733,0.0,0.0,38.5,0.89,268.0,372.0,48.1,170.0,118.0,88.8,14.3,1.52,90.0,22.3,56.0,3.28,0.09,0.0,0.0,3.27,7.97,1.28,6.4,2.06,0.82,2.91,0.54,3.6,0.78,2.28,0.0,2.23,0.35,0.95,0.21,0.012,0.13,0.268,0.068,0.703432,0.513057,18.799,15.54,38.703,0.054382860476693023,0.0,1.5500986880495202,0.14,0.0216325,0.006115915,9.96,100.00000000000001,47.896666417207044,13.470426378462866,8.886662298685199,1.3451118583036203,14.651671637993191,10.60622489335159,1.7532384848257063,0.05207639063838731,0.8852986408525819,0.1475497734754307,0.047191208585381665,0.09545347373951926,0.018771793369728666,0.00530713938041484,0.13834961112931562,0.0,0.12319158263919341,1.60783535083628,1402.603237308228,0.24,39.0
29,1,AFAR21,Kelley/Kingsley/andSchilling/inrevision,VLD0003-320,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,11.747,43.022,45.72046412860647,3.4852814263239114,14.312755136920963,11.522922949671022,10.26500754381279,8.999458668548199,0.2008807738515223,0.351541354240164,2.490921595758876,0.49,0.5120450925475304,0.0,0.0,29.6,3.5,359.0,367.0,54.0,183.0,195.0,0.0,17.7,0.0,517.0,28.1,140.6,0.0,1.16,0.051,0.0,9.76,25.49,3.87,19.48,5.29,1.93,5.41,0.91,5.34,1.05,2.78,0.0,2.38,0.35,3.43,0.0,0.024,0.66,0.572,0.167,0.703554,0.512988,18.828,15.549,38.8,0.053876946717764135,0.0,2.084844383000783,0.14,0.023286750000000002,0.0068661,13.34,99.99999999999999,43.86496318316448,9.71876476119876,11.756442033123474,1.4156681874493517,21.10333567418014,6.970229884873806,1.6914060777384665,0.23870650290663642,2.3666044716743664,0.13640371594664952,0.03658396767026877,0.3327238318150868,0.015812360592897937,0.004662275717603184,0.3476930719480097,0.0,0.27641099855282214,3.393611807847514,1583.9470780755087,0.24,39.0
30,1,AFAR3,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-069-001,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,14.465,56.422,49.99752432162634,1.3207270783379381,15.298421990747782,8.794041240096822,11.67642803348768,8.564714992858145,0.19010465521530925,0.05002754084613402,2.331283403429845,0.13,0.14247843632978965,0.0,4.1,39.5,1.23,301.0,295.0,45.4,135.0,83.0,104.8,15.5,0.37,79.0,31.9,75.9,0.85,0.46,0.0,0.0,2.23,7.12,1.35,7.72,3.0,1.09,4.1,0.81,5.39,1.19,3.51,0.0,3.32,0.5,1.63,0.06,0.016,0.21,0.058,0.012,0.702938,0.513106,18.473,15.512,38.312,0.04314094968341859,0.0,1.5911073573408336,0.14,0.01717875,0.00577261,10.22,100.00000000000004,48.2745690151204,12.594617927054063,9.269586678604659,1.3098991032377056,15.455573407522799,9.612765939092291,1.9192583237433585,0.04118580093869873,1.0873051447816504,0.15650604356705544,0.035516328324681226,0.10702413173772063,0.014142621562225887,0.004752373639311406,0.11729716107341415,0.0,0.16177703269069585,1.6775714922238325,1422.1201846594695,0.24,39.0
34,1,AFAR34,JennerandO'Neill/2012,SALMR79-003-004A,0.0,0.0,0.0,0.0,LA-ICP-MS,0.0,0.0,GL,23.2,37.27,49.49123170613261,0.5716312476696167,16.105961118550955,7.546535331076957,13.669006852169959,9.456987132499098,0.0,0.070200328661181,1.6146075592071631,0.07,0.04673336165158622,0.0,4.3,39.8,0.55,258.0,421.0,48.2,177.0,128.0,79.9,14.7,0.85,33.0,15.8,14.0,1.16,0.31,0.0,0.1,0.9,2.33,0.35,2.0,1.01,0.43,1.61,0.35,2.6,0.58,1.75,0.0,1.87,0.26,0.55,0.07,0.0,0.1,0.087,0.024,0.0,0.0,0.0,0.0,0.0,0.061709458508953846,0.0,1.3653959038719368,0.14,0.022523249999999998,0.00612863,8.75,100.00000000000003,48.78377338252355,14.875611282719372,7.771416598581542,1.261091999633706,12.407946323328577,12.624818292868282,1.4912661373087266,0.06483765814385777,0.5279637877428417,0.0,0.056995413716041964,0.0646526327814731,0.020802677304218708,0.005660458069193115,0.04316335527862529,0.0,0.07278627723690316,1.1547474558713648,1341.9421416393939,0.24,39.0
44,1,AFAR8,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-067-001,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,14.368,53.58,49.80501755984116,1.3111851487819919,15.413932283391354,8.650819267879967,11.820684432912461,8.587762272175183,0.18016284487080805,0.10009046937267115,2.312089842508703,0.16,0.20098166250032365,0.0,0.0,40.4,1.35,318.0,356.0,44.4,122.0,81.0,106.0,15.6,1.04,88.0,34.0,90.8,2.3,0.66,0.0,0.0,3.53,10.04,1.72,9.28,3.21,1.16,4.41,0.86,5.74,1.28,3.76,0.0,3.54,0.53,2.0,0.16,0.037,0.36,0.167,0.043,0.702843,0.513124,18.425,15.522,38.277,0.05208003389249422,0.0,1.5651941818728736,0.14,0.0155245,0.00564546,10.05,99.99999999999997,48.19439363191131,12.832834652020486,9.109140773941164,1.3030988955311371,15.10785551081846,9.841284236387127,1.9249251978030693,0.0833300951429899,1.0916242463731676,0.14999417125738218,0.043359115073713914,0.13320764011242442,0.012924887555783351,0.004700115024681792,0.1673268310471237,0.0,0.15361828184511223,1.6554221723145022,1412.9530141453515,0.24,39.0
