STUDY,Sample,LONGITUDE,LATITUDE,AREA,PROVINCE,ROCK TYPE,AGE (Ma),ERROR,TECHNIQUE,SiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,Ba,Co,Cr,Cs,Ga,Hf,Nb,Rb,Sr,Ta,Th,U,Pb,V,Zr,Y,Sc,Ni,Cu,Zn,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb
Ad01,KH-10,32.54,40.39,C. Anatolia,Galatia,-,14.3,0.7,Sr-Nd,46.3864094407566,17.2371528113974,9.73067236017006,6.17664642409083,11.5837770976945,4.39136988291616,1.59033255105396,1.69293465111216,1.02602100068324,0.184683780125007,645,43,55,,18,,26,21,1557,,,,,216,223,28,,,,,69.3,147,,59.6,9.79,2.4,7.48,,5.64,,3,,2.78,0.38,0.704852,0.512715,,,
Ad01,KH-11,32.67,40.57,C. Anatolia,Galatia,-,7.1,0.9,Sr-Nd,48.836309045805,17.5921821083909,8.01654957273669,6.48133025048672,9.52652668552215,4.62952160741751,2.34562428106429,1.84152081714776,0.565830418729785,0.164605212699094,455,44,71,,22,,49,43,686,,,,,158,202,26,,,,,,,,,,,,,,,,,,,0.703576,,,,
Ad01,NR-92-9,37.35,40.51,C. Anatolia,Pontides,-,0.05,0.05,Sr-Nd,49.7447017851492,14.8809800425497,11.7445745744955,6.96062135050688,10.7490582248792,2.33367711462788,1.94978217805392,1.07086482317045,0.343484943298245,0.222254963269024,437,46,181,,,,6,34,577,,,,,387,92,17,,52,,,16.2,35.5,,19.7,4.64,1.22,4.6,,3.94,,2.2,,2.02,0.29,0.704313,0.512788,,,
Ad01,NK-92-4,36.98,40.54,C. Anatolia,Pontides,-,0.09,0.09,Sr-Nd,54.1107068601,17.3090154488,7.3546968254,4.4174049843,8.123617783,4.5376064805,2.0634590176,1.2621157098,0.6811418116,0.1402350789,530,,,,,,,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al01,H-08,36.65,37.07,C. Anatolia,Karasu,Ol-tholeiite,1.17,0.17,K-Ar,52.288788528,16.1359933348,10.3839610677,5.9029140174,9.0892620683,2.4408243082,1.4195589073,1.9812548778,0.3063796203,0.05106327,281,40,76,,,4.4,33,21,521,1.8,2.7,0.25,,227,155,25,24,28,,,24.77,50.39,,25.35,5.89,1.89,4.94,,4.37,,2.18,,2.15,0.35,0.704415,0.512699,18.808,15.725,39.195
Al01,H-22,36.54,36.58,C. Anatolia,Karasu,Ol-tholeiite,0.78,0.1,K-Ar,51.0320518028,15.7178719553,10.8367990901,5.7257962123,9.5940257389,3.3374961879,1.3064205262,1.9902500203,0.4082564144,0.0510320518,316,74,126,,,4.4,28,23.1,470,2,3.7,0.37,,263,67,28,26,73,,,20.87,47.92,,24.54,5.59,1.6,5.15,,4.66,,2.2,,2.06,0.28,0.70436,,,,
Al01,HT-53,36.54,36.58,C. Anatolia,Karasu,Ol-tholeiite,2.1,0.2,K-Ar,47.7231334187,16.3534013223,11.6607773852,7.8681459192,9.8634665837,3.0546919451,0.9668048581,2.3347308806,0,0.1748476871,285,,,,,2.9,,10.1,489,1.4,1.6,0.37,,,,,,,,,15.63,26.26,,19.27,4.81,1.7,4.71,,4.08,,2.08,,1.81,0.26,0.70349,0.51275,19.176,15.683,39.223
Al01,H-17A,36.47,36.78,C. Anatolia,Karasu,Ol-tholeiite,1.1,0.2,K-Ar,51.9808775347,15.4318230181,10.2314611012,6.8834052673,8.629637872,3.3604825125,1.2386068475,1.7868426653,0.4061006057,0.0507625757,271,50,200,,,3.7,10,17.6,361,1.2,3.8,0.71,,213,134,22,22,102,,,17.85,37.86,,19.11,4.83,1.51,4.42,,4.03,,2.04,,2.03,0.34,0.70549,0.512628,18.759,15.718,39.136
Al01,H-18,36.47,36.78,C. Anatolia,Karasu,Q-tholeiite,0.6,0.1,K-Ar,50.9182496744,17.5191563266,11.7997562481,5.4299139492,7.5813892875,3.0428008357,1.1884339964,2.0592692524,0.4098048264,0.0512256033,197,52,29,,,,11,20.5,328,,,,,220,150,27,26,45,,,19.5,38.2,,23.2,5,1.66,5.97,,5.59,,2.93,,2.6,0.6,0.70441,,18.817,15.698,39.054
Al01,H-12,36.57,36.92,C. Anatolia,Karasu,Al-Ol-basalt,0.35,0.15,K-Ar,47.4296909866,14.1088321289,11.7047271592,9.8361574346,10.1063265604,3.1019418156,1.1106952953,2.0412778399,0.5003131961,0.0600375835,242,78,244,,,3.6,36,18.4,688,2.2,2.8,0.69,,219,142,22,24,232,,,24.58,51.31,,26.24,6.03,2.13,5.05,,3.95,,1.74,,2.55,0.22,0.703353,0.5129,19.257,15.64,39.1
