Province,Author,Sample,Unique_Id,Flow,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,P,T
Harrat_Rahat,Bertrand_2003,AS27,,BASALT,0.5,0.5,Stratigraphic,23.84955752,39.63519313,,,,,,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703049,0.51291,18.754,15.548,38.489,,
Harrat_Rahat,Bertrand_2003,AS58,,BASALT,5,5,Stratigraphic,21.81415929,40.11802575,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703434,0.513041,18.61,15.531,38.273,,
Harrat_Rahat,Bertrand_2003,AS63,,BASALT,5,5,Stratigraphic,22.02064897,40.40772532,,,,,,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703361,0.512925,18.783,15.525,38.433,,
Harrat_Rahat,Bertrand_2003,AS74,,BASALT,5,5,Stratigraphic,22.05014749,39.66738197,,,,,,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702968,0.512912,18.797,15.575,38.553,,
Harrat_Rahat,Bertrand_2003,AS76,,BASALT,5,5,Stratigraphic,22.34513274,39.24892704,,,,,,9.16,,,,,,,,,,,,,,,,,,,,,14,,,277,,,,,,,,,,,,,,,,,,,,,0.703462,,18.697,15.529,38.246,,
Harrat_Rahat,Bertrand_2003,AS62,,BASALT,5,5,Stratigraphic,22.13864307,39.08798283,,,,,,9.27,,,,,,,,,,,,,,,,,,,,,14,,,95,,,,,,,,,,,,,,,,,,,,,0.703172,,18.663,15.569,38.363,,
Harrat_Rahat,Bertrand_2003,AS57,,BASALT,5,5,Stratigraphic,21.75516224,39.3776824,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,24,,,154,,,,,,,,,,,,,,,,,,,,,0.7031,0.512977,18.891,15.585,38.67,,
Harrat_Rahat,Altherr_1990,SA 76-26,,BASALT/ ALKALINE,5,5,Stratigraphic,23.08,39.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70292,,18.611,15.521,38.297,,
Harrat_Rahat,Altherr_1990,SA 76-35,,BASALT/ ALKALINE,5,5,Stratigraphic,23.08,39.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70291,0.513032,18.672,15.536,38.353,,
Harrat_Rahat,Camp_1989,4147,Medinah,Trachyte,0.45,0.15,Stratigraphic,24.1,39.85,62.72401434,0.169255277,17.47311828,4.888490641,1.363998407,0.169255277,0.17921147,5.047789725,7.945041816,0.039824771,,,,3,,12,0,,17,13,211,50,71,28,99,1496,154,,,11,102.5,243,23.8,92.6,18.3,2.5,16.7,,16.75,3.45,10.56,,10.8,1.68,,,,,,,,,,,,,
Harrat_Rahat,Camp_1989,4232,Medinah,Benmoreite,1.45,0.25,Stratigraphic,23,42.2,58.87458845,0.658485483,17.19046194,8.300907912,3.142771625,0.808141275,0.249426319,3.781303003,6.644717151,0.349196847,,,,12,,12,0,,7,23,134,30,34,268,58,1048,83,,,776,66.9,158.1,16.6,66.2,12.78,3.79,11.39,,10.13,2.06,6.11,,6.19,1.02,,,,,,,,,,,,,
