Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Region
North_Sea,Forties-Piper,Latin_1992,samp. AH1/36,,WELL 15/21-8A (AH1)/ AMERADA HESS,,,,155,5,Stratigraphic,57.5,1,49.26220204,2.177277887,12.19688371,9.163141059,13.84790011,9.957692705,0.144463936,0.753276236,2.197915592,0.299246724,,1.1,,46,,363,766,,241,34,77,,14,471,22,163,36,,,557,25.8,55.63,6.8,29.7,5.66,1.75,5.31,,4.49,0.77,2.11,,1.67,0.24,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. AH1/42,,WELL 15/21-8A (AH1)/ AMERADA HESS,,,,155,5,Stratigraphic,57.5,1,46.80917298,2.490401577,13.78022206,9.930476289,12.25485109,11.11341704,0.207533465,0.913147245,2.127218014,0.373560237,,1.5,,44,,383,277,,127,63,85,,6,482,24,197,46,,,511,34.7,73.35,8.73,36.2,6.71,2.04,6.25,,5.19,0.9,2.45,,1.97,0.29,,,,,,,0.703673,0.512777,20.615,15.721,40.649,
North_Sea,Forties-Piper,Latin_1992,samp. BP1/1,,WELL 21/9-1 (BP1/ B.P.),,,,155,5,Stratigraphic,57.5,1,47.02473352,3.09427714,13.89837525,8.692952499,12.89454621,10.89723688,0.424298872,0.527786402,2.090448101,0.455345131,,2.9,,37,,379,291,,110,39,113,,3,746,27,240,64,,,596,43.7,93.92,10.81,44.9,7.81,2.49,6.86,,5.25,0.9,2.39,,1.82,0.26,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. BP1/33,,WELL 21/9-1 (BP1/ B.P.),,,,155,5,Stratigraphic,57.5,1,47.82111284,2.849713989,13.47893916,9.797191888,12.17888716,10.24440978,0.2600104,0.676027041,2.288091524,0.405616225,,2.5,,35,,313,359,,152,39,84,,4,698,27,221,56,,,573,38.7,83.78,9.9,41.1,7.25,2.31,6.51,,5.16,0.89,2.42,,1.88,0.27,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. BP1/64,,WELL 21/9-1 (BP1/ B.P.),,,,155,5,Stratigraphic,57.5,1,48.32694499,3.056044753,14.52398218,8.277219517,12.06878691,9.655029525,0.300424738,0.528333161,2.724541593,0.538692634,,2.7,,31,,338,283,,107,42,80,,3,822,29,282,65,,,466,46.3,101.37,11.98,49.3,8.46,2.61,7.24,,5.62,0.97,2.61,,2.02,0.29,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. BP2/1,,WELL 21/10-1 (BP2/ B.P.),,,,155,5,Stratigraphic,57.5,1,46.43115381,2.499741762,10.21588679,8.366904245,14.05846503,15.82481149,0.21691974,0.547464105,1.487449644,0.351203388,,3.3,,38,,267,1171,,83,61,84,,15,316,21,193,52,,,497,37.8,78.65,9.16,37.5,6.3,1.93,5.35,,3.92,0.65,1.69,,1.24,0.17,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. TO1/21,,WELL 21/3-2 (TO1/ TOTAL),,,,155,5,Stratigraphic,57.5,1,49.59451029,2.401746725,13.2771886,9.211894365,10.49074652,10.46995217,0.239134955,1.403618216,2.547307132,0.363901019,,2.7,,28,,290,287,,163,57,93,,36,774,26,208,51,,,689,38.8,79.71,8.96,36.9,6.46,1.96,5.82,,4.74,0.82,2.22,,1.81,0.27,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. TO1/27,,WELL 21/3-2 (TO1/ TOTAL),,,,155,5,Stratigraphic,57.5,1,49.61542406,2.60486104,13.00379448,9.240077941,10.80914778,10.29637986,0.205107168,1.138344785,2.738180699,0.348682186,,3,,37,,312,464,,167,93,85,,36,919,26,190,48,,,521,34.6,72.34,8.41,34.8,6.3,1.96,5.78,,4.61,0.8,2.13,,1.67,0.26,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. FO1/3,,WELL 15/27-2 (FO1/ PHILLIPS),,,,155,5,Stratigraphic,57.5,1,52.20138817,2.486273697,19.14430747,7.210193722,6.795814773,4.558168445,0,3.522221071,3.138920543,0.94271211,,2.6,,5,,259,2,,69,9,165,,94,1344,34,424,147,,,1438,80,166.29,18.41,71.5,11.78,3.62,9.67,,7.15,1.22,3.26,,2.53,0.37,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. FO1/4,,WELL 15/27-2 (FO1/ PHILLIPS),,,,155,5,Stratigraphic,57.5,1,46.61238125,3.173608936,18.42572294,9.238960225,12.91366531,5.115356509,0,1.023071302,2.296690678,1.200542854,,2.7,,7,,321,2,,9,21,130,,15,1653,35,386,126,,,3534,92.7,186.99,21.22,82.4,13.07,3.89,10.75,,7.95,1.35,3.57,,2.68,0.38,,,,,,,,,,,,
