,Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Region,src_FeIII_totFe
9,Arabia,Harrat_Rahat,Camp_1989,4147,Medinah,Trachyte,,,,0.45,0.15,Stratigraphic,24.1,39.85,62.72401434,0.169255277,17.47311828,4.888490641,1.363998407,0.169255277,0.17921147,5.047789725,7.945041816,0.039824771,4.86,,,3.0,,12.0,0.0,,17.0,13.0,211.0,50.0,71.0,28.0,99.0,1496.0,154.0,,,11,102.5,243.0,23.8,92.6,18.3,2.5,16.7,,16.75,3.45,10.56,,10.8,1.68,,,,,,,,,,,,,0.18
10,Arabia,Harrat_Rahat,Camp_1989,4232,Medinah,Benmoreite,,,,1.45,0.25,Stratigraphic,23.0,42.2,58.87458845,0.658485483,17.19046194,8.300907912,3.142771625,0.808141275,0.249426319,3.781303003,6.644717151,0.349196847,3.162,,,12.0,,12.0,0.0,,7.0,23.0,134.0,30.0,34.0,268.0,58.0,1048.0,83.0,,,776,66.9,158.1,16.6,66.2,12.78,3.79,11.39,,10.13,2.06,6.11,,6.19,1.02,,,,,,,,,,,,,0.18
95,Arabia,Harrat_Rahat,Camp_1989,4210,Medinah,AOB,,,,1.45,0.25,Stratigraphic,23.0,42.2,46.95495134,2.789204374,16.02287549,11.94943313,9.340824722,8.026487408,0.190629076,0.702317648,3.652051771,0.371225043,0.7752,,,24.0,,250.0,186.0,,140.0,71.0,81.0,18.0,6.0,514.0,24.0,179.0,19.0,,,73,15.96,38.76,4.51,21.06,4.84,1.81,4.83,,4.38,0.88,2.41,,1.97,0.31,,,,,,,,,,,,,0.18
135,Arabia,Harrat_Rahat,Camp_1989,4226,Shawahit,OTB,,,,8.49,0.88,K-Ar,22.65,40.32,48.04195804,1.058941059,16.53346653,10.27972028,11.46853147,9.090909091,0.16983017,0.31968032,2.887112887,0.14985015,0.3296,,,29.0,,202.0,391.0,,218.0,126.0,74.0,15.0,4.0,266.0,20.0,99.0,7.0,,,65,6.72,16.48,1.84,9.53,2.55,0.96,2.91,,3.22,0.71,2.11,,1.88,0.29,,,,,,,,,,,,,0.18
138,Arabia,Harrat_Rahat,Camp_1989,4204,Shawahit,OTB,,,,8.66,0.77,K-Ar,23.12,40.62,47.87212787,1.478521479,15.71428571,10.73926074,11.10889111,9.100899101,0.16983017,0.559440559,3.046953047,0.20979021,0.4938,,,27.0,,202.0,353.0,,222.0,103.0,74.0,16.0,8.0,382.0,19.0,109.0,19.0,,,98,10.68,24.69,2.3,13.11,3.3,1.21,3.49,,3.3,0.74,1.96,,1.7,0.27,,,,,,,,,,,,,0.18
145,Arabia,Harrat_Rahat,Camp_1989,4149,Shawahit,OTB,,,,2.1,0.46,K-Ar,23.87,40.26,47.29152172,1.88848027,15.5252957,11.0426399,10.69476195,9.661067488,0.168969287,0.63611967,2.842659775,0.248484246,0.5464,,,28.0,,250.0,353.0,,214.0,106.0,82.0,17.0,6.0,416.0,21.0,143.0,17.0,,,59,10.96,27.32,3.22,15.12,3.83,1.42,4.03,,3.55,0.71,2.2,,1.71,0.26,,,,,,,,,,,,,0.18
146,Arabia,Harrat_Rahat,Camp_1989,4270,Shawahit,OTB,,,,3.69,0.55,K-Ar,22.38,40.35,47.64670539,1.421990787,17.08391748,10.53474865,12.32725816,7.310234328,0.180252353,0.350490687,2.974163829,0.170238334,0.38,,,32.0,,242.0,184.0,,136.0,119.0,76.0,17.0,1.0,355.0,21.0,108.0,8.0,,,57,7.53,19.0,2.18,11.2,3.07,1.16,3.43,,3.55,0.76,2.23,,1.98,0.31,,,,,,,,,,,,,0.18
165,Arabia,Harrat_Rahat,Camp_1989,4261,Hammah,Mugearite,,,,2.1,0.4,Stratigraphic,22.25,42.3,52.44537984,1.573461616,16.68671076,12.00641411,5.431950291,2.535578272,0.27059531,1.964321507,5.762677891,1.322910403,2.492,,,8.0,,27.0,2.0,,2.0,21.0,108.0,23.0,22.0,735.0,41.0,422.0,54.0,,,291,52.6,124.6,13.1,57.6,11.1,3.71,9.98,,7.74,1.56,4.18,,3.49,0.55,,,,,,,,,,,,,0.18
188,Arabia,Harrat_Rahat,Murcia_2017,HM-91-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / As-Sahab,,,0.0008,0.0,Historic,24.35314,39.8055,50.02073828,2.177519701,16.67357943,11.90377437,7.652426379,5.267523849,0.21775197,1.130236416,4.230609706,0.725839901,1.48,1.79,,21.0,,143.0,84.0,38.0,70.0,33.0,73.0,22.0,18.0,557.0,35.0,308.0,30.0,,0.4,310,32.0,74.0,9.2,40.0,8.7,2.9,8.3,1.2,6.9,1.3,3.6,0.5,3.1,0.5,7.1,1.9,,2.8,2.9,0.9,,,,,,88.0,0.18
189,Arabia,Harrat_Rahat,Murcia_2017,HM-92-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / As-Sahab,,,0.0008,0.0,Historic,24.35353,39.80742,48.23433354,2.439273321,16.29924474,12.48213921,8.103694632,6.021637069,0.204123291,1.153296591,4.368238416,0.694019188,1.3,0.35,,22.0,,185.0,140.0,48.0,92.0,74.0,74.0,21.0,14.0,526.0,31.0,276.0,27.0,,0.1,189,27.0,65.0,8.1,37.0,7.6,2.6,7.6,1.1,6.3,1.2,3.4,0.4,2.8,0.4,6.2,1.9,,2.5,2.1,0.6,,,,,,88.0,0.18
190,Arabia,Harrat_Rahat,Murcia_2017,HM-94-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / As-Sahab,,,0.0008,0.0,Historic,24.35353,39.81022,48.53243021,2.493842365,16.30747126,12.42816092,8.600164204,5.500821018,0.205254516,1.159688013,4.094827586,0.677339902,1.3,0.73,,24.0,,175.0,133.0,45.0,82.0,38.0,68.0,22.0,12.0,510.0,34.0,280.0,29.0,,0.1,213,28.0,65.0,8.2,37.0,7.8,2.7,7.9,1.1,6.6,1.3,3.3,0.5,3.0,0.4,6.4,2.0,,1.9,2.0,0.7,,,,,,88.0,0.18
191,Arabia,Harrat_Rahat,Murcia_2017,HM-95-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / As-Sahab,,,0.0008,0.0,Historic,24.35303,39.81042,48.82017901,2.461350692,16.33441823,12.37794955,8.167209113,5.502441009,0.213588283,1.281529699,4.139544345,0.701790073,1.34,0.06,,24.0,,194.0,127.0,46.0,84.0,60.0,80.0,22.0,16.0,509.0,33.0,293.0,29.0,,0.1,240,29.0,67.0,8.6,38.0,8.1,2.8,8.3,1.2,6.6,1.3,3.4,0.5,3.1,0.4,6.7,2.0,,2.3,2.1,0.7,,,,,,88.0,0.18
192,Arabia,Harrat_Rahat,Murcia_2017,HM-96-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / As-Sahab,,,0.0008,0.0,Historic,24.3545,39.81203,49.24111236,2.393806662,16.91962921,11.70418662,7.843536722,5.684017521,0.193541815,1.008454721,4.308851991,0.702862382,1.38,0.31,,25.0,,177.0,109.0,42.0,68.0,172.0,63.0,22.0,11.0,459.0,33.0,279.0,29.0,,0.1,222,30.0,69.0,8.7,39.0,8.4,2.8,8.5,1.2,6.9,1.3,3.7,0.5,3.1,0.4,6.6,2.0,,3.2,2.2,0.7,,,,,,88.0,0.18
193,Arabia,Harrat_Rahat,Murcia_2017,HM-97-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / As-Sahab,,,0.0008,0.0,Historic,24.35428,39.81533,48.43383328,2.438526681,16.19222528,12.4171003,8.142026324,5.662687481,0.214263851,1.357004387,4.458728701,0.683603714,1.34,0.38,,24.0,,155.0,125.0,46.0,86.0,72.0,74.0,21.0,13.0,512.0,33.0,283.0,30.0,,0.1,241,28.0,67.0,8.4,37.0,8.5,2.7,7.9,1.1,6.6,1.3,3.4,0.5,2.8,0.4,6.3,1.9,,1.9,2.0,0.6,,,,,,88.0,0.18
194,Arabia,Harrat_Rahat,Murcia_2017,HM-103-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / As-Sahab,,,0.0008,0.0,Historic,24.35308,39.81289,48.16138917,2.390194076,16.17977528,11.84882533,9.601634321,5.076608785,0.204290092,1.389172625,4.42288049,0.725229826,1.4,0.52,,23.0,,177.0,106.0,44.0,86.0,50.0,73.0,21.0,14.0,558.0,35.0,302.0,30.0,,0.1,252,30.0,70.0,8.9,40.0,8.6,2.9,8.1,1.2,7.0,1.3,3.6,0.5,3.0,0.4,6.7,2.0,,2.6,2.3,0.8,,,,,,88.0,0.18
195,Arabia,Harrat_Rahat,Murcia_2017,HM-104-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / As-Sahab,,,0.0008,0.0,Historic,24.35353,39.81186,48.31070736,2.378279065,16.24987241,12.15678269,8.79861182,5.858936409,0.204144126,1.173828723,4.205368991,0.663468409,1.3,0.35,,23.0,,264.0,122.0,46.0,82.0,42.0,74.0,22.0,13.0,552.0,31.0,278.0,29.0,,0.1,230,28.0,65.0,8.3,36.0,7.7,2.7,7.8,1.1,6.6,1.2,3.4,0.5,2.9,0.4,6.3,1.9,,2.3,2.0,0.8,,,,,,88.0,0.18
196,Arabia,Harrat_Rahat,Murcia_2017,HM-105-1,Medinah,BASALT,SAUDI ARABIA / Harrat_Rahat / As-Sahab,,,0.0008,0.0,Historic,24.35325,39.81169,48.81521408,2.45093054,16.36326655,12.23431303,8.471473609,5.257805349,0.213566562,1.301739042,4.169632869,0.722058375,1.4,0.01,,23.0,,222.0,121.0,42.0,75.0,53.0,75.0,22.0,14.0,547.0,34.0,297.0,30.0,,0.1,249,30.0,70.0,8.8,40.0,8.4,2.9,8.5,1.2,7.0,1.4,3.5,0.5,3.2,0.5,6.8,2.1,,2.6,2.2,0.9,,,,,,88.0,0.18
