> -W1p,blue
0.000000000000000000e+00 1.000000000000000000e+00
4.997501249375313264e-04 1.002221173383730957e+00
9.990009990009992170e-04 1.004442270701187301e+00
1.497753369945082269e-03 1.006663288916519017e+00
1.996007984031935960e-03 1.008884225009305302e+00
2.493765586034913089e-03 1.011105075974461753e+00
2.991026919242273374e-03 1.013325838822151548e+00
3.487792725460886652e-03 1.015546510577696848e+00
3.984063745019920250e-03 1.017767088281487542e+00
4.479840716774515300e-03 1.019987568988895088e+00
4.975124378109453509e-03 1.022207949770184365e+00
5.469915464942813957e-03 1.024428227710427075e+00
5.964214711729622087e-03 1.026648399909414699e+00
6.458022851465475278e-03 1.028868463481572793e+00
6.951340615690169283e-03 1.031088415555877935e+00
7.444168734491314263e-03 1.033308253275770916e+00
7.936507936507936067e-03 1.035527973799071688e+00
8.428358948934061914e-03 1.037747574297902098e+00
8.919722497522300855e-03 1.039967051958595290e+00
9.410599306587419041e-03 1.042186403981619325e+00
9.900990099009901110e-03 1.044405627581494356e+00
1.039089559623948729e-02 1.046624719986709362e+00
1.088031651829871396e-02 1.048843678439644878e+00
1.136925358378645425e-02 1.051062500196491722e+00
1.185770750988142386e-02 1.053281182527171067e+00
1.234567901234568006e-02 1.055499722715257160e+00
1.283316880552813621e-02 1.057718118057898504e+00
1.332017760236803121e-02 1.059936365865739916e+00
1.380670611439842148e-02 1.062154463462845699e+00
1.429275505174963136e-02 1.064372408186625041e+00
1.477832512315271039e-02 1.066590197387751404e+00
1.526341703594288370e-02 1.068807828430092810e+00
1.574803149606299191e-02 1.071025298690631233e+00
1.623216920806689820e-02 1.073242605559393326e+00
1.671583087512291260e-02 1.075459746439372477e+00
1.719901719901719903e-02 1.077676718746458651e+00
1.768172888015717356e-02 1.079893519909361554e+00
1.816396661757486639e-02 1.082110147369544251e+00
1.864573110893032529e-02 1.084326598581144108e+00
1.912702305051495674e-02 1.086542871010907296e+00
1.960784313725490169e-02 1.088758962138114628e+00
2.008819206271435578e-02 1.090974869454512719e+00
2.056807051909892436e-02 1.093190590464242939e+00
2.104747919725893229e-02 1.095406122683773020e+00
2.152641878669275810e-02 1.097621463641826889e+00
2.200488997555012302e-02 1.099836610879318499e+00
2.248289345063538697e-02 1.102051561949279668e+00
2.296042989741084450e-02 1.104266314416797679e+00
2.343750000000000000e-02 1.106480865858943563e+00
2.391410444119082546e-02 1.108695213864708151e+00
2.439024390243902871e-02 1.110909356034936124e+00
2.486591906387128348e-02 1.113123289982257180e+00
2.534113060428850109e-02 1.115337013331025418e+00
2.581587920116902232e-02 1.117550523717249611e+00
2.629016553067186138e-02 1.119763818788533261e+00
2.676399026763990122e-02 1.121976896204006424e+00
2.723735408560311322e-02 1.124189753634265765e+00
2.771025765678172131e-02 1.126402388761309492e+00
2.818270165208941122e-02 1.128614799278474301e+00
2.865468674113647377e-02 1.130826982890375643e+00
2.912621359223300718e-02 1.133038937312841998e+00
2.959728287239204308e-02 1.135250660272857814e+00
3.006789524733268978e-02 1.137462149508497777e+00
3.053805138148327561e-02 1.139673402768870636e+00
3.100775193798449569e-02 1.141884417814055919e+00
