> -W1p,blue,-
0.000000000000000000e+00 1.000000000000000000e+00
4.997501249375313264e-04 1.002229117742581721e+00
9.990009990009992170e-04 1.004458007890594917e+00
1.497753369945082269e-03 1.006686667673153623e+00
1.996007984031935960e-03 1.008915094335233187e+00
2.493765586034913089e-03 1.011143285137566128e+00
2.991026919242273374e-03 1.013371237356542887e+00
3.487792725460886652e-03 1.015598948284107905e+00
3.984063745019920250e-03 1.017826415227661485e+00
4.479840716774515300e-03 1.020053635509957424e+00
4.975124378109453509e-03 1.022280606469007092e+00
5.469915464942813957e-03 1.024507325457979734e+00
5.964214711729622087e-03 1.026733789845106104e+00
6.458022851465475278e-03 1.028959997013580541e+00
6.951340615690169283e-03 1.031185944361466600e+00
7.444168734491314263e-03 1.033411629301601797e+00
7.936507936507936067e-03 1.035637049261501685e+00
8.428358948934061914e-03 1.037862201683269481e+00
8.919722497522300855e-03 1.040087084023499253e+00
9.410599306587419041e-03 1.042311693753187329e+00
9.900990099009901110e-03 1.044536028357639257e+00
1.039089559623948729e-02 1.046760085336379653e+00
1.088031651829871396e-02 1.048983862203060280e+00
1.136925358378645425e-02 1.051207356485374333e+00
1.185770750988142386e-02 1.053430565724963408e+00
1.234567901234568006e-02 1.055653487477334673e+00
1.283316880552813621e-02 1.057876119311768948e+00
1.332017760236803121e-02 1.060098458811236100e+00
1.380670611439842148e-02 1.062320503572310004e+00
1.429275505174963136e-02 1.064542251205080614e+00
1.477832512315271039e-02 1.066763699333073356e+00
1.526341703594288370e-02 1.068984845593160316e+00
1.574803149606299191e-02 1.071205687635480297e+00
1.623216920806689820e-02 1.073426223123355783e+00
1.671583087512291260e-02 1.075646449733208998e+00
1.719901719901719903e-02 1.077866365154482198e+00
1.768172888015717356e-02 1.080085967089555954e+00
1.816396661757486639e-02 1.082305253253669663e+00
1.864573110893032529e-02 1.084524221374840725e+00
1.912702305051495674e-02 1.086742869193786598e+00
1.960784313725490169e-02 1.088961194463845317e+00
2.008819206271435578e-02 1.091179194950899545e+00
2.056807051909892436e-02 1.093396868433296198e+00
2.104747919725893229e-02 1.095614212701773171e+00
2.152641878669275810e-02 1.097831225559380508e+00
2.200488997555012302e-02 1.100047904821406464e+00
2.248289345063538697e-02 1.102264248315302231e+00
2.296042989741084450e-02 1.104480253880605778e+00
2.343750000000000000e-02 1.106695919368871017e+00
2.391410444119082546e-02 1.108911242643591866e+00
2.439024390243902871e-02 1.111126221580131634e+00
2.486591906387128348e-02 1.113340854065647534e+00
2.534113060428850109e-02 1.115555137999023616e+00
2.581587920116902232e-02 1.117769071290795502e+00
2.629016553067186138e-02 1.119982651863081102e+00
2.676399026763990122e-02 1.122195877649511120e+00
2.723735408560311322e-02 1.124408746595159103e+00
2.771025765678172131e-02 1.126621256656471282e+00
2.818270165208941122e-02 1.128833405801199508e+00
2.865468674113647377e-02 1.131045192008332867e+00
2.912621359223300718e-02 1.133256613268028179e+00
2.959728287239204308e-02 1.135467667581546269e+00
3.006789524733268978e-02 1.137678352961182027e+00
3.053805138148327561e-02 1.139888667430200675e+00
3.100775193798449569e-02 1.142098609022770273e+00
3.147699757869249632e-02 1.144308175783897763e+00
3.194578896418200087e-02 1.146517365769364805e+00
3.241412675374939767e-02 1.148726177045662045e+00
3.288201160541585899e-02 1.150934607689924727e+00
3.334944417593040805e-02 1.153142655789872961e+00
3.381642512077295132e-02 1.155350319443745111e+00
3.428295509415741488e-02 1.157557596760237173e+00
3.474903474903474898e-02 1.159764485858439942e+00
3.521466473709599504e-02 1.161970984867779721e+00
3.567984570877531098e-02 1.164177091927953711e+00
3.614457831325301046e-02 1.166382805188872496e+00
3.660886319845857440e-02 1.168588122810597874e+00
3.707270101107366239e-02 1.170793042963284680e+00
3.753609239653513119e-02 1.172997563827120171e+00
3.799903799903799756e-02 1.175201683592266289e+00
3.846153846153846367e-02 1.177405400458799045e+00
3.892359442575685224e-02 1.179608712636653234e+00
3.938520653218059719e-02 1.181811618345563586e+00
3.984637542006720656e-02 1.184014115815006818e+00
4.030710172744721848e-02 1.186216203284145232e+00
4.076738609112710160e-02 1.188417879001770761e+00
4.122722914669223887e-02 1.190619141226249011e+00
4.168663152850982101e-02 1.192819988225462424e+00
4.214559386973179556e-02 1.195020418276755647e+00
4.260411680229774650e-02 1.197220429666882691e+00
4.306220095693780170e-02 1.199420020691948086e+00
4.351984696317550555e-02 1.201619189657357367e+00
4.397705544933078192e-02 1.203817934877760232e+00
4.443382704252269583e-02 1.206016254676998578e+00
4.489016236867240245e-02 1.208214147388053661e+00
4.534606205250596433e-02 1.210411611352992134e+00
4.580152671755725186e-02 1.212608644922916312e+00
4.625655698617071876e-02 1.214805246457909105e+00
4.671115347950429569e-02 1.217001414326984943e+00
4.716531681753215882e-02 1.219197146908038931e+00
4.761904761904761640e-02 1.221392442587793337e+00
4.807234650166587742e-02 1.223587299761750069e+00
4.852521408182684098e-02 1.225781716834138946e+00
4.897765097479790664e-02 1.227975692217869064e+00
4.942965779467680537e-02 1.230169224334477063e+00
4.988123515439429889e-02 1.232362311614081607e+00
5.033238366571700373e-02 1.234554952495332092e+00
5.078310393925011129e-02 1.236747145425361571e+00
5.123339658444022587e-02 1.238938888859736576e+00
5.168326220957800143e-02 1.241130181262413812e+00
5.213270142180095185e-02 1.243321021105686874e+00
5.258171482709615707e-02 1.245511406870144056e+00
5.303030303030303177e-02 1.247701337044619940e+00
5.347846663511594822e-02 1.249890810126147889e+00
5.392620624408704655e-02 1.252079824619915405e+00
5.437352245862883682e-02 1.254268379039218173e+00
5.482041587901701624e-02 1.256456471905413874e+00
5.526688710439301572e-02 1.258644101747877553e+00
5.571293673276676850e-02 1.260831267103956099e+00
5.615856536101934693e-02 1.263017966518925173e+00
5.660377358490565475e-02 1.265204198545943459e+00
5.704856199905705000e-02 1.267389961746009375e+00
5.749293119698398180e-02 1.269575254687916432e+00
5.793688177107865489e-02 1.271760075948213053e+00
5.838041431261770109e-02 1.273944424111153495e+00
5.882352941176470507e-02 1.276128297768662323e+00
5.926622765757291050e-02 1.278311695520286451e+00
5.970850963798778055e-02 1.280494615973154948e+00
6.015037593984962072e-02 1.282677057741937521e+00
6.059182714889619487e-02 1.284859019448802320e+00
6.103286384976526480e-02 1.287040499723373088e+00
6.147348662599717850e-02 1.289221497202692746e+00
6.191369606003752080e-02 1.291402010531175648e+00
6.235349273323956970e-02 1.293582038360573394e+00
6.279287722586691933e-02 1.295761579349931303e+00
6.323185011709603343e-02 1.297940632165548669e+00
6.367041198501872945e-02 1.300119195480939238e+00
6.410856340664483621e-02 1.302297267976793682e+00
6.454630495790458777e-02 1.304474848340935411e+00
6.498363721365123247e-02 1.306651935268288156e+00
6.542056074766355867e-02 1.308828527460832003e+00
6.585707613264829563e-02 1.311004623627566978e+00
6.629318394024277805e-02 1.313180222484475523e+00
6.672888474101727752e-02 1.315355322754482525e+00
6.716417910447761153e-02 1.317529923167420680e+00
6.759906759906759988e-02 1.319704022459989856e+00
6.803355079217147938e-02 1.321877619375722013e+00
6.846762925011644352e-02 1.324050712664943452e+00
6.890130353817504327e-02 1.326223301084737738e+00
6.933457422056769903e-02 1.328395383398909724e+00
6.976744186046511531e-02 1.330566958377949804e+00
7.019990701999070937e-02 1.332738024798997278e+00
7.063197026022303981e-02 1.334908581445804820e+00
7.106363214119833238e-02 1.337078627108702289e+00
7.149489322191272811e-02 1.339248160584562530e+00
7.192575406032483687e-02 1.341417180676765186e+00
7.235621521335806883e-02 1.343585686195163387e+00
7.278627723690310469e-02 1.345753675956047557e+00
7.321594068582021331e-02 1.347921148782111000e+00
7.364520611394165250e-02 1.350088103502417702e+00
7.407407407407406996e-02 1.352254538952366580e+00
7.450254511800093182e-02 1.354420453973657734e+00
7.493061979648474313e-02 1.356585847414259360e+00
7.535829865926954585e-02 1.358750718128374668e+00
7.578558225508318091e-02 1.360915064976410571e+00
7.621247113163973075e-02 1.363078886824939051e+00
7.663896583564173970e-02 1.365242182546672067e+00
7.706506691278265653e-02 1.367404951020422033e+00
7.749077490774908261e-02 1.369567191131076500e+00
7.791609036422314505e-02 1.371728901769559306e+00
7.834101382488480037e-02 1.373890081832803478e+00
7.876554583141411048e-02 1.376050730223717933e+00
7.918968692449356028e-02 1.378210845851155497e+00
7.961343764381040300e-02 1.380370427629884045e+00
8.003679852805888062e-02 1.382529474480551634e+00
8.045977011494254150e-02 1.384687985329659199e+00
8.088235294117646079e-02 1.386845959109527682e+00
8.130454754248965521e-02 1.389003394758269394e+00
8.172635445362717854e-02 1.391160291219755374e+00
8.214777420835245314e-02 1.393316647443587852e+00
8.256880733944953199e-02 1.395472462385069168e+00
8.298945437872534692e-02 1.397627735005171790e+00
8.340971585701191515e-02 1.399782464270508564e+00
8.382959230416857366e-02 1.401936649153305625e+00
8.424908424908424120e-02 1.404090288631369532e+00
8.466819221967962494e-02 1.406243381688061733e+00
8.508691674290942697e-02 1.408395927312269258e+00
8.550525834476452314e-02 1.410547924498372518e+00
8.592321755027421126e-02 1.412699372246222884e+00
8.634079488350844545e-02 1.414850269561109153e+00
8.675799086757991774e-02 1.417000615453732459e+00
8.717480602464629247e-02 1.419150408940177854e+00
8.759124087591239893e-02 1.421299649041885660e+00
8.800729594163246572e-02 1.423448334785623937e+00
8.842297174111213298e-02 1.425596465203463392e+00
8.883826879271071453e-02 1.427744039332747628e+00
8.925318761384334887e-02 1.429891056216065159e+00
8.966772872098316416e-02 1.432037514901228104e+00
9.008189262966333211e-02 1.434183414441238646e+00
9.049567985447931617e-02 1.436328753894266841e+00
9.090909090909091161e-02 1.438473532323622850e+00
9.132212630622445204e-02 1.440617748797730968e+00
9.173478655767484946e-02 1.442761402390102754e+00
9.214707217430777308e-02 1.444904492179312827e+00
9.255898366606170324e-02 1.447047017248970668e+00
9.297052154195012408e-02 1.449188976687699304e+00
9.338168631006346643e-02 1.451330369589103775e+00
9.379247847757138379e-02 1.453471195051751819e+00
9.420289855072463969e-02 1.455611452179144116e+00
9.461294703485739754e-02 1.457751140079692753e+00
9.502262443438913575e-02 1.459890257866694796e+00
9.543193125282678491e-02 1.462028804658306980e+00
9.584086799276671231e-02 1.464166779577523725e+00
9.624943515589697018e-02 1.466304181752149161e+00
9.665763324299909975e-02 1.468441010314775808e+00
9.706546275395033785e-02 1.470577264402759932e+00
9.747292418772562916e-02 1.472712943158197119e+00
9.788001804239963854e-02 1.474848045727897849e+00
9.828674481514877714e-02 1.476982571263366184e+00
