SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O,Fe2O3,P2O5
48,0.66,18.9,0.02,8.22,0.18,18.7,10.6,2.76,0.11,0,0,0.07
47.3,1.25,16.5,0,7.73,0.18,11.8,10.9,2.98,0.13,0,0,0.15
48.1,1.77,17.6,0.03,10.4,0.11,7.83,7.69,5.61,0.36,0,0,0.36
47.3,1.42,17.8,0.03,9.92,0.16,8.9,9.94,3.86,0.22,0,0,0.32
47.4,1.19,15.8,0.02,7.42,0.27,12.3,10.6,2.72,0.14,0,0,0.15
47.5,1.22,16,0.03,8.46,0.19,11.7,10.7,3.03,0.15,0,0,0.13
47.4,1.64,18.6,0,11.6,0.13,7.07,8.36,5.12,0.27,0,0,0.34
47.8,1.98,18.5,0.02,11.8,0.14,5.7,7.38,5.94,0.37,0,0,0.4
47.8,1.65,19.1,0.04,11,0.16,6.1,8.64,4.98,0.27,0,0,0.28
48,1.42,19.3,0,10.3,0.14,6.28,8.64,5.27,0.23,0,0,0.26
