Unnamed: 0,Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,src_FeIII_totFe,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,T,P_err,T_err
3,1,AARR3,JennerandO'Neill/2012,MELVULC-5-027-019,0.0,0.0,0.0,0.0,LA-ICP-MS,0.0,0.0,GL,-56.89,-6.04,49.807192289847244,1.2421745462471958,16.298532151162803,7.607116991364481,11.570254846092833,8.53494123711783,0.0,0.1302279766226899,3.035313608975003,0.14024551328597373,0.19193600246851833,0.0,4.5,36.8,1.32,235.0,323.0,44.5,100.0,85.0,88.5,17.4,1.79,151.0,22.6,69.7,3.53,1.01,0.019,0.43,3.44,9.58,1.51,8.25,2.7,1.06,3.5,0.62,4.07,0.85,2.54,0.0,2.47,0.34,1.86,0.21,0.007,0.47,0.229,0.072,0.70277,0.51305,18.606,15.56,38.289,1.3763569538342568,0.047292470026189776,0.012747315404028684,0.005668097550977603,0.0,8.83,0.14,100.00000000000006,48.840544420623225,14.57930295871889,7.965454810458189,1.2311737537577883,12.73504973820897,10.349781756189513,2.715137551623736,0.11649105006966536,1.1111454006644996,0.0,0.04230388612809907,0.12545190007502463,0.011402681631819194,0.005070205747907147,0.17168988610267616,0.0,0.10031488978857406,1.4601353510051511,1360.4305453543216,0.24,39.0
10,1,AARR3,JennerandO'Neill/2012,MELVULC-5-027-010,0.0,0.0,0.0,0.0,LA-ICP-MS,0.0,0.0,GL,-56.89,-6.04,49.25263641317798,1.131668953779811,17.31553646978136,7.24328219036094,11.516984927847638,8.903130087701348,0.0,0.10014769502476206,2.874238847210671,0.12017723402971446,0.16464281062070885,0.0,4.3,32.2,1.14,203.0,296.0,46.0,140.0,82.0,83.7,16.7,1.13,149.0,19.8,61.7,2.51,0.92,0.012,0.41,2.72,8.22,1.33,7.2,2.45,0.96,3.06,0.53,3.55,0.76,2.19,0.0,2.17,0.31,1.61,0.15,0.009,0.45,0.153,0.052,0.0,0.0,0.0,0.0,0.0,1.3105282622318284,0.0433272578302649,0.01784131186866136,0.005857538534303309,0.0,8.41,0.14,99.99999999999999,48.623610541280435,16.040604342662306,7.494180195875706,1.214034885435057,11.828904371473893,10.668996526351433,2.6626104374459727,0.09277388283783884,1.0483448760675795,0.0,0.040137098918112415,0.11132865940540651,0.01652766722756094,0.005426251633302349,0.15252026338540703,0.0,0.07106363214119837,1.3849475456735594,1334.572556526639,0.24,39.0
13,1,AFAR10,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-064-003,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,13.337,50.692,49.84090336668026,0.939263215009612,15.357952781593335,8.464360313134492,11.920649101132629,9.512538092437772,0.16986675165067452,0.03996864744721753,1.9484715630518548,0.09992161861804383,0.08992945675623944,0.0,4.7,40.4,0.84,284.0,385.0,49.1,175.0,91.0,86.9,14.1,0.64,61.0,24.5,47.6,1.18,0.22,0.0,0.0,1.06,4.5,0.8,4.43,1.84,0.72,3.09,0.57,4.01,0.9,2.67,0.0,2.66,0.41,0.79,0.08,0.014,0.2,0.083,0.019,0.702899,0.51315,18.269,15.454,38.099,1.531458131900206,0.05622749354227115,0.022251295446005636,0.006238171599376578,0.0,9.85,0.14,99.99999999999999,48.66206275539925,13.39213607986712,8.79767241831586,1.3354316160945263,14.477385343298291,10.394806989773251,1.6990673621171675,0.034852663838300824,0.8190376002000701,0.14812382131277851,0.04903037896108344,0.08713165959575218,0.019403131446229037,0.005439686144141558,0.0784184936361771,0.0,0.12049252418645566,1.4567253453650488,1391.3502638656828,0.24,39.0
15,1,AFAR11,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-063-003,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,13.288,50.323,49.2530481435629,1.1289238215461679,15.125581113459278,9.047175524918396,11.509028693992791,9.670781055368943,0.17982857334363736,0.06993333407808121,2.008085735670617,0.12987619185929367,0.154053144497716,0.0,0.0,38.9,1.1,285.0,406.0,47.3,169.0,83.0,105.5,14.9,1.15,70.0,29.0,66.3,2.25,0.33,0.0,0.0,2.82,7.71,1.37,7.16,2.58,0.94,3.71,0.72,4.88,1.08,3.16,0.0,3.08,0.46,1.34,0.15,0.017,0.27,0.169,0.043,0.702943,0.513149,18.351,15.491,38.26,1.6369069859732754,0.05928444543134362,0.02148476903832365,0.00600846725922465,0.0,10.53,0.14,100.0,47.88482654127396,12.735971732141104,9.399035752208002,1.3783008365178788,15.747231494845822,9.690779019436297,1.6908390476620616,0.058884941958380496,0.9505712058995666,0.15141842217869214,0.04991841407649385,0.10935774935127798,0.018090505686435103,0.005059221764305444,0.12971511499974647,0.0,0.14675767918088745,1.728000988202234,1427.41807260909,0.24,39.0
17,1,AFAR12,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-062-001,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,13.362,49.805,49.87633262366388,1.2586456860768374,15.313522513934855,8.839888201879653,11.387746683552336,8.760573545153859,0.16981727510560504,0.08990326329120266,2.287538588187268,0.14983877215200445,0.19279255350224572,0.0,0.0,43.9,1.25,292.0,339.0,45.8,147.0,80.0,98.0,15.5,1.4,95.0,31.2,81.6,2.78,0.51,0.0,0.0,3.43,9.65,1.63,8.72,3.05,1.09,4.1,0.77,5.29,1.15,3.33,0.0,3.15,0.47,1.78,0.19,0.019,0.28,0.212,0.052,0.702937,0.513153,18.272,15.448,38.079,1.5994024558299988,0.049494982959285554,0.018685644081215712,0.005817210629760221,0.0,10.29,0.14,100.00000000000003,48.26642761883178,12.670590782639076,9.300783202375863,1.3233646273173867,15.522701764643946,9.422357137774627,1.8927366531143766,0.07438703003506274,1.041418420490885,0.14050883451067456,0.04095273796738336,0.12397838339177152,0.015460724300870855,0.004813229308869859,0.15951885329741272,0.0,0.15931063472047088,1.6816102530798696,1420.2238400581236,0.24,39.0
29,1,AFAR20,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-042-001,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,11.938,43.69,48.99272976215937,1.0188090592742622,15.501879019545637,8.555598900117275,12.205732063070084,9.57880282200017,0.16980150987904372,0.05992994466319189,2.0176414703274603,0.1098715652158518,0.1592138863218798,0.0,0.0,38.5,0.89,268.0,372.0,48.1,170.0,118.0,88.8,14.3,1.52,90.0,22.3,56.0,3.28,0.09,0.0,0.0,3.27,7.97,1.28,6.4,2.06,0.82,2.91,0.54,3.6,0.78,2.28,0.0,2.23,0.35,0.95,0.21,0.012,0.13,0.268,0.068,0.703432,0.513057,18.799,15.54,38.703,1.547965944754185,0.05430803641422719,0.02160724213210831,0.006108774125246422,0.0,9.96,0.14,100.00000000000001,47.89660478778723,13.47042251363781,8.886923669885183,1.3451114723750777,14.651455160524385,10.606221850299853,1.7532379818008001,0.05207637569705322,0.8852983868499074,0.14754973114165107,0.047191195045664144,0.09547335544459758,0.018775703287775097,0.005308244787854068,0.13834957143517135,0.0,0.12319158263919341,1.6078186701288382,1402.6001690081048,0.24,39.0
31,1,AFAR21,Kelley/Kingsley/andSchilling/inrevision,VLD0003-320,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,11.747,43.022,45.48284196117991,3.46716743421121,14.238367705334218,11.46303506404746,10.21165739989584,8.95268593963471,0.19983673972398902,0.3497142945169808,2.477975572577464,0.4896000123237731,0.5093838495564481,0.0,0.0,29.6,3.5,359.0,367.0,54.0,183.0,195.0,0.0,17.7,0.0,517.0,28.1,140.6,0.0,1.16,0.051,0.0,9.76,25.49,3.87,19.48,5.29,1.93,5.41,0.91,5.34,1.05,2.78,0.0,2.38,0.35,3.43,0.0,0.024,0.66,0.572,0.167,0.703554,0.512988,18.828,15.549,38.8,2.0740088578048392,0.05359693300623686,0.02326774099383801,0.006860495193094406,0.0,13.34,0.14,100.00000000000003,43.86259211573585,9.713686448725504,11.756175336199279,1.4149284632569283,21.116580751905182,6.966587754805239,1.690522273181707,0.23858177242483597,2.365367858040522,0.1363324413856216,0.036564851576412497,0.33401448139477197,0.01587369739718309,0.004680360878989071,0.3475113930919486,0.0,0.27667269439421355,3.396578911856583,1584.3540724044637,0.24,39.0
32,1,AFAR3,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-069-001,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,14.465,56.422,49.921127220964706,1.3187089840238828,15.275045731609973,8.780603789683871,11.658586245120235,8.55162795700336,0.1898141719428316,0.04995109787969252,2.3277211611936717,0.12987285448720057,0.1422607267613643,0.0,4.1,39.5,1.23,301.0,295.0,45.4,135.0,83.0,104.8,15.5,0.37,79.0,31.9,75.9,0.85,0.46,0.0,0.0,2.23,7.12,1.35,7.72,3.0,1.09,4.1,0.81,5.39,1.19,3.51,0.0,3.32,0.5,1.63,0.06,0.016,0.21,0.058,0.012,0.702938,0.513106,18.473,15.512,38.312,1.5886761171826154,0.043075029549965574,0.017161948454015356,0.005766964142625838,0.0,10.22,0.14,100.00000000000001,48.27076321707161,12.588313175940923,9.270220471778302,1.3092433796677554,15.472192178619851,9.607953875947068,1.918297560493286,0.0411651837015727,1.0867608497215195,0.15642769806597623,0.03549854917394903,0.10702947762408885,0.014143327990267823,0.004752611021750707,0.11723844318207863,0.0,0.162128194386259,1.6799876453971256,1422.520018284401,0.24,39.0
38,1,AFAR34,JennerandO'Neill/2012,SALMR79-003-004A,0.0,0.0,0.0,0.0,LA-ICP-MS,0.0,0.0,GL,23.2,37.27,49.4423163431785,0.571066267793551,16.09004256274461,7.539076605520124,13.655496894782631,9.447640184724888,0.0,0.07013094516762908,1.6130117388554688,0.07013094516762908,0.046687172068735926,0.0,4.3,39.8,0.55,258.0,421.0,48.2,177.0,128.0,79.9,14.7,0.85,33.0,15.8,14.0,1.16,0.31,0.0,0.1,0.9,2.33,0.35,2.0,1.01,0.43,1.61,0.35,2.6,0.58,1.75,0.0,1.87,0.26,0.55,0.07,0.0,0.1,0.087,0.024,0.0,0.0,0.0,0.0,0.0,1.3640463954052546,0.061648467087714,0.02256538301066859,0.006140094492609808,0.0,8.75,0.14,100.0,48.783620103118686,14.87556932655458,7.77152680894323,1.2610884427658455,12.407816172975405,12.624782684989974,1.4912619312423967,0.06483747527140868,0.5279622986386134,0.0,0.05699525296238117,0.06483747527140868,0.020862152355810737,0.005676641372465894,0.04316323353782343,0.0,0.07278627723690316,1.1547538236838992,1341.9411501201462,0.24,39.0
48,1,AFAR8,Kelley/Kingsley/andSchilling/inrevision,VEM0033-7-067-001,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,14.368,53.58,49.714867669648235,1.3088118297274758,15.38603219679628,8.635160797201966,11.799288327543122,8.57221793821507,0.17983673996255392,0.09990929997919662,2.307904829519442,0.1598548799667146,0.2006178743582268,0.0,0.0,40.4,1.35,318.0,356.0,44.4,122.0,81.0,106.0,15.6,1.04,88.0,34.0,90.8,2.3,0.66,0.0,0.0,3.53,10.04,1.72,9.28,3.21,1.16,4.41,0.86,5.74,1.28,3.76,0.0,3.54,0.53,2.0,0.16,0.037,0.36,0.167,0.043,0.702843,0.513124,18.425,15.522,38.277,1.56236109214538,0.0519857660944554,0.01551041927527038,0.0056403395666055536,0.0,10.05,0.14,100.00000000000003,48.19426062611004,12.832813656649321,9.109476488642397,1.303096763574659,15.107561481597417,9.841268135391465,1.924922048497403,0.08332995880941126,1.0916224604032847,0.14999392585693994,0.043359044135317396,0.13332793409505772,0.012936559455367007,0.0047043594926017805,0.16732655728929757,0.0,0.15361828184511223,1.6554082446678433,1412.9493304791831,0.24,39.0
